action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[17610, 18367, 19135, 20148, 21197]","[u'right', u'right', u'right', u'up', u'up']",test,"[u'0', u'12', u'13', u'14', u'15', u'16']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'21', u'33', u'29', u'32', u'17', u'16', u'20', u'6', u'11', u'27'], u'time': [799, 2179, 3430, 4446, 5373, 7238, 8998, 10239, 11858, 12831, 14050, 15228]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, 2, -7, 13, 45]","[17577, 226, 243, 491, 503]",41.0,"[None, None, None, None, None]","[u'', 1, -1, -4, 1, 16, -45, -17, -3, 9, -8, 14, 0, 2, -7, 13, 45, 2, 21, 5, -24, 5, 25, 0, 2, 0, 1, -25, -12, -15, 14, 8, -32, 13]",377311,13.0,23137.0,1.0491821684e+18,mouselab-mdp,50
"[25096, 26326, 28554, 29545, 30519]","[u'up', u'up', u'up', u'right', u'up']",test,"[u'0', u'1', u'2', u'3', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'16', u'21', u'33', u'27', u'29', u'5', u'6', u'17', u'20', u'32', u'28', u'31', u'22', u'18', u'11'], u'time': [1005, 2475, 3416, 4605, 5515, 7043, 8368, 9148, 10418, 12054, 13328, 16328, 18126, 19444, 20376, 21519]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, -6, -2, -8, 22]","[25047, 696, 1707, 461, 440]",-10.0,"[None, None, None, None, None]","[u'', 0, -6, -2, -8, 22, -15, -11, 11, -34, 10, -61, 0, 1, 3, -7, 10, 10, -1, 1, 15, 13, -32, -1, 5, 8, -11, 14, 20, 24, 1, -30, -6, -16]",412441,14.0,33757.0,-4.98814993479e+18,mouselab-mdp,50
"[9774, 10759, 11433, 12287, 13128]","[u'up', u'up', u'up', u'right', u'right']",test,"[u'0', u'1', u'2', u'3', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'6', u'29', u'20', u'17', u'32'], u'time': [1336, 2423, 3980, 4909, 6148, 7113]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, 0, 4, 4, 45]","[9758, 460, 147, 324, 313]",47.0,"[None, None, None, None, None]","[u'', 0, 0, 4, 4, -39, 45, 32, 1, 5, 43, 53, 1, -2, 0, 7, -27, -39, 0, 1, 12, 39, -70, 0, 0, 0, 1, 33, 18, -1, 1, 3, -4, 42]",428803,15.0,15005.0,-6.00893554297e+18,mouselab-mdp,50
"[13657, 14332, 15047, 15780, 16613]","[u'up', u'up', u'up', u'right', u'up']",test,"[u'0', u'1', u'2', u'3', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'17', u'33', u'27', u'32', u'20', u'21', u'5'], u'time': [1545, 3079, 4406, 5456, 6789, 7990, 9187, 10034]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-1, -1, 3, 11, 47]","[13644, 144, 194, 201, 308]",51.0,"[None, None, None, None, None]","[u'', -1, -1, 3, 11, 47, -18, -4, -7, 33, -53, -44, -1, 1, -1, 0, 2, 7, -33, -3, 18, 9, 35, -1, 2, 6, -1, 9, 7, 17, 3, 47, 16, 28]",448630,16.0,18388.0,4.30375616478e+18,mouselab-mdp,50
"[21909, 22467, 23071, 23667, 24294]","[u'left', u'left', u'left', u'down', u'left']",test,"[u'0', u'23', u'24', u'25', u'30', u'33']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'17', u'29', u'6', u'5', u'33', u'20', u'21', u'27', u'31', u'32', u'11', u'16', u'28', u'18', u'22'], u'time': [1110, 2094, 3606, 4533, 5488, 6607, 7610, 8334, 9707, 10813, 11650, 13354, 14295, 17443, 18614, 19645]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, 1, 2, 6, 38]","[21896, 29, 76, 64, 106]",31.0,"[None, None, None, None, None]","[u'', 0, -3, 4, -12, -2, -6, 28, 14, -6, 0, -34, 1, 2, 5, -8, -28, 29, 30, -16, -26, -70, -6, 0, 1, 2, 5, -3, -48, 7, 6, -45, -31, 38]",475811,17.0,25821.0,-1.19874718799e+17,mouselab-mdp,50
"[10105, 10733, 11393, 12078, 12742]","[u'left', u'left', u'left', u'up', u'left']",test,"[u'0', u'23', u'24', u'25', u'26', u'29']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'20', u'16', u'5', u'28', u'33', u'27', u'29'], u'time': [1441, 2400, 3527, 4610, 5779, 6512, 7521, 8268]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, 1, 3, 13, 59]","[10092, 81, 124, 160, 140]",68.0,"[None, None, None, None, None]","[u'', 2, -1, -5, -5, -27, -15, 26, -15, -65, 62, -26, 1, -4, 3, -11, -32, -45, 17, -8, -32, 22, 50, 0, 1, 3, 13, -8, -31, 59, 11, -39, 26, 13]",491351,18.0,14210.0,2.31359358032e+18,mouselab-mdp,50
"[6130, 6746, 7489, 8289, 9276]","[u'right', u'right', u'right', u'up', u'right']",test,"[u'0', u'12', u'13', u'14', u'15', u'17']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'32', u'5', u'29', u'17'], u'time': [1184, 2358, 3306, 4416]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, 0, -7, -5, 65]","[6117, 88, 201, 264, 451]",49.0,"[None, None, None, None, None]","[u'', 0, -2, -6, -4, -2, 53, -45, 8, 7, 26, 65, 0, 0, -7, -5, 50, 65, 5, 0, 15, 10, 72, -1, -3, -3, -11, 4, 2, -48, 0, -9, 8, -21]",503484,19.0,10766.0,-5.12551101719e+18,mouselab-mdp,50
"[15414, 16130, 16772, 17595, 18437]","[u'up', u'up', u'up', u'right', u'right']",test,"[u'0', u'1', u'2', u'3', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'17', u'29', u'28', u'33', u'21', u'16', u'5', u'6'], u'time': [5907, 6916, 7709, 8357, 9914, 10818, 12052, 12962, 13425]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, 2, 1, 5, 47]","[15402, 170, 105, 295, 321]",46.0,"[None, None, None, None, None]","[u'', 0, 2, 1, 5, 2, 47, -64, 3, -10, -31, -26, -1, 1, -4, -1, 9, -37, 36, 19, -22, 29, -10, 1, 0, 9, -3, 25, 19, -35, -17, 19, 27, -17]",524683,20.0,19807.0,7.71696205605e+18,mouselab-mdp,50
"[17919, 18447, 19148, 19696, 20328]","[u'left', u'left', u'left', u'down', u'left']",test,"[u'0', u'23', u'24', u'25', u'30', u'33']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'29', u'6', u'5', u'9', u'31', u'32', u'20', u'17', u'16', u'18', u'21', u'22', u'33'], u'time': [1448, 3051, 3962, 4696, 6176, 7572, 8737, 9599, 10335, 11019, 11830, 12787, 13928]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, -1, -8, -6, 48]","[17905, 3, 143, 20, 100]",20.0,"[None, None, None, None, None]","[u'', 0, 4, 5, 13, -13, -29, -34, -1, -40, -20, -14, 1, -1, -6, -4, 6, 18, -29, 5, 44, 16, 8, 0, -1, -8, 5, -11, 5, 16, -6, 33, 4, 48]",547804,21.0,21774.0,-2.02927868974e+18,mouselab-mdp,50
"[19871, 21098, 21716, 22453, 23345]","[u'left', u'left', u'left', u'up', u'left']",test,"[u'0', u'23', u'24', u'25', u'26', u'29']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'29', u'17', u'22', u'31', u'33', u'5', u'6', u'11', u'9', u'21', u'20', u'18', u'16', u'27', u'28', u'32', u'7', u'10'], u'time': [1231, 2426, 3289, 4199, 4895, 6033, 6645, 7449, 8354, 9545, 10139, 11070, 11988, 12998, 13752, 14486, 17649, 18359]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, 2, 5, 1, 14]","[19861, 698, 81, 202, 357]",4.0,"[None, None, None, None, None]","[u'', 1, 3, 9, -11, -46, -16, 5, 7, 10, -65, -10, 1, 0, 3, -2, -6, 6, 13, 2, 4, -21, 12, 0, 2, 5, 1, -12, -20, 14, 1, -11, 1, -20]",573908,22.0,24703.0,-6.93444865984e+18,mouselab-mdp,50
