action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[17889, 18646, 19268, 20342, 20939]","[u'right', u'right', u'right', u'up', u'right']",test,"[u'0', u'12', u'13', u'14', u'15', u'17']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'21', u'20', u'17', u'16', u'18', u'22', u'32', u'33', u'31', u'29', u'27', u'28', u'10', u'11', u'9', u'5', u'6', u'7'], u'time': [1419, 2179, 2930, 3673, 4474, 5298, 6425, 7370, 8090, 9607, 10283, 11260, 12331, 13064, 13787, 14869, 15526, 16297]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-1, -2, -7, 11, 61]","[17869, 212, 76, 534, 66]",44.0,"[None, None, None, None, None]","[u'', 1, -1, 0, 9, 2, -26, -23, -5, 0, 27, -43, -1, -2, -7, 11, -1, 61, -46, 10, -22, -13, -32, -1, -3, 1, -11, -8, 0, 21, 1, 10, 16, -1]",426255,9.0,24936.0,3.45966285876e+18,mouselab-mdp,71
"[19183, 19932, 20595, 21316, 22449]","[u'right', u'right', u'right', u'up', u'up']",test,"[u'0', u'12', u'13', u'14', u'15', u'16']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'11', u'10', u'29', u'27', u'28', u'33', u'32', u'31', u'22', u'21', u'20', u'17', u'16', u'18', u'6', u'7', u'5'], u'time': [1447, 2134, 2862, 4311, 5735, 6457, 7188, 8366, 9063, 10517, 11375, 12008, 12846, 13618, 14416, 15171, 15755, 16633]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[1, 0, 3, 17, 64]","[19161, 201, 132, 189, 583]",67.0,"[None, None, None, None, None]","[u'', 1, -1, 1, 5, 12, -17, 52, 1, 30, 13, 28, 1, 0, 3, 17, 64, 24, 54, -10, 47, 2, -57, 0, 2, -3, 15, 43, -41, 32, 1, -18, -10, -14]",453709,10.0,25753.0,-8.09611612733e+18,mouselab-mdp,71
"[19885, 20586, 21281, 21856, 22739]","[u'right', u'right', u'right', u'down', u'down']",test,"[u'0', u'12', u'13', u'14', u'19', u'21']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'16', u'17', u'18', u'22', u'21', u'20', u'32', u'33', u'29', u'27', u'11', u'9', u'5', u'6', u'7', u'31'], u'time': [2577, 3325, 4021, 4767, 5494, 6098, 7719, 9304, 10079, 10918, 11822, 12568, 13456, 14191, 15091, 16119]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-1, -3, 2, 7, 74]","[19868, 175, 152, 44, 342]",63.0,"[None, None, None, None, None]","[u'', 1, 1, -1, 6, -26, 7, 57, 12, -10, 31, -12, -1, -3, 2, 2, 32, 26, -10, 7, 60, 74, 25, 0, 1, 0, -5, 50, 24, 5, 12, 27, -40, 40]",482330,11.0,26867.0,4.93020834377e+18,mouselab-mdp,71
"[19694, 20532, 21243, 22036, 22824]","[u'right', u'right', u'right', u'up', u'up']",test,"[u'0', u'12', u'13', u'14', u'15', u'16']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'21', u'20', u'22', u'17', u'16', u'18', u'7', u'6', u'5', u'9', u'11', u'10', u'27', u'28', u'29', u'33', u'32', u'31'], u'time': [1603, 2223, 2904, 3696, 4592, 5567, 6447, 7095, 7865, 8800, 9795, 11129, 11858, 12538, 13440, 14168, 14776, 15393]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[1, 1, 0, -7, 62]","[19677, 317, 180, 256, 239]",39.0,"[None, None, None, None, None]","[u'', 0, -6, 2, -12, 19, -31, -47, 4, -48, -14, 7, 1, 1, 0, -7, 62, -19, 58, -4, 37, 34, -33, 0, 2, 3, -2, 10, -13, -37, 8, -18, 44, 19]",510097,12.0,26162.0,-7.70136888106e+18,mouselab-mdp,71
"[25093, 25828, 26532, 27250, 27955]","[u'left', u'left', u'left', u'up', u'left']",test,"[u'0', u'23', u'24', u'25', u'26', u'29']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'16', u'21', u'20', u'17', u'18', u'22', u'7', u'6', u'5', u'9', u'11', u'10', u'28', u'27', u'29', u'33', u'32', u'31'], u'time': [5023, 6614, 7340, 8143, 8890, 9733, 10743, 11425, 12047, 12968, 13568, 14394, 15476, 16081, 16696, 17929, 18634, 19265]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, 0, -1, -7, 57]","[25069, 214, 155, 171, 160]",31.0,"[None, None, None, None, None]","[u'', 0, 0, 3, 4, -89, 19, 10, 0, -15, 27, -13, 2, 1, 9, -6, -56, 23, 27, 0, -49, -14, 20, 0, 0, -1, -7, -17, -46, 57, -4, 15, -33, 25]",543706,13.0,32001.0,-3.34502625076e+18,mouselab-mdp,71
"[20418, 21030, 21704, 22407, 23177]","[u'up', u'up', u'up', u'right', u'right']",test,"[u'0', u'1', u'2', u'3', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'31', u'32', u'33', u'29', u'27', u'28', u'11', u'10', u'9', u'5', u'6', u'7', u'18', u'16', u'17', u'20', u'21', u'22'], u'time': [1950, 2585, 3118, 4299, 5027, 6212, 7587, 8284, 8988, 9773, 10389, 11102, 12147, 12801, 13407, 14335, 15233, 15882]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[1, 1, 0, -1, 56]","[20391, 99, 138, 159, 229]",39.0,"[None, None, None, None, None]","[u'', 1, 1, 0, -1, 14, 56, 28, -4, 25, -4, -6, 2, -1, -2, -16, -45, 14, -22, 4, -36, -25, 22, 1, 1, 5, 14, 33, -29, -3, 5, -13, 14, -51]",572016,14.0,26674.0,-3.97653490919e+18,mouselab-mdp,71
"[28859, 29680, 30488, 31037, 31718]","[u'up', u'up', u'up', u'right', u'right']",test,"[u'0', u'1', u'2', u'3', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'21', u'20', u'17', u'16', u'18', u'22', u'31', u'32', u'33', u'29', u'27', u'28', u'10', u'11', u'9', u'5', u'6', u'7'], u'time': [11271, 12299, 13253, 13994, 14675, 15324, 16188, 16764, 17492, 18236, 18854, 19614, 20162, 20869, 21477, 22230, 22820, 23413]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, -2, -2, -8, 26]","[28840, 301, 277, 9, 123]",-4.0,"[None, None, None, None, None]","[u'', 0, -2, -2, -8, -65, 26, -5, -7, -42, -18, -40, 1, -4, -4, -7, 15, 8, -5, -1, 13, -25, 15, -1, 1, -2, 9, -39, -15, -26, 8, -45, 28, 15]",620210,15.0,46449.0,-3.54350647552e+18,mouselab-mdp,71
"[30465, 31012, 31669, 32439, 33143]","[u'up', u'up', u'up', u'left', u'left']",test,"[u'0', u'1', u'2', u'3', u'8', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'17', u'20', u'21', u'16', u'22', u'33', u'29', u'27', u'11', u'9', u'5', u'6', u'18', u'7', u'32', u'31'], u'time': [8525, 11655, 13318, 15325, 16678, 18108, 19060, 19676, 20330, 21090, 21771, 22380, 23715, 24397, 25564, 26195]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, 2, -7, -10, 47]","[30446, 25, 98, 233, 174]",16.0,"[None, None, None, None, None]","[u'', 0, 2, -7, 2, -4, 0, -28, -10, -15, -8, 47, 0, 0, 3, -13, 23, 29, 29, -3, -40, -32, 8, 1, 3, 6, 7, 1, 8, -8, 8, 19, 7, -40]",659188,16.0,37215.0,7.63808305668e+17,mouselab-mdp,71
"[25596, 26417, 27306, 28106, 29043]","[u'left', u'left', u'left', u'down', u'right']",test,"[u'0', u'23', u'24', u'25', u'30', u'31']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'17', u'21', u'33', u'29', u'11', u'6', u'5', u'9', u'10', u'7', u'16', u'18', u'22', u'20', u'31', u'32', u'27', u'28'], u'time': [1999, 4244, 7156, 8118, 9091, 9981, 10845, 11847, 12582, 13309, 13951, 14662, 15630, 16640, 17567, 18240, 19335, 20665]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-1, 1, -8, -5, 37]","[25574, 292, 346, 262, 401]",6.0,"[None, None, None, None, None]","[u'', 1, 0, -3, -11, 18, -61, -15, -4, -5, 19, -20, 0, -2, 0, 5, -11, 12, 3, -3, -2, -6, -63, -1, 1, -8, 9, -45, 1, 15, -5, 37, -44, 29]",692698,17.0,31830.0,2.29757928843e+16,mouselab-mdp,71
"[10592, 11258, 11843, 12671, 13387]","[u'right', u'right', u'right', u'up', u'left']",test,"[u'0', u'12', u'13', u'14', u'15', u'18']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'22', u'21', u'20', u'17', u'16', u'18', u'6', u'7'], u'time': [2178, 2721, 3321, 3994, 5035, 5932, 7297, 7947]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[1, -1, 4, 2, 97]","[10575, 124, 41, 287, 185]",95.0,"[None, None, None, None, None]","[u'', 1, -2, 2, 17, -47, -27, -28, -2, 52, 0, -22, 1, -1, 4, 2, 44, -21, 97, 7, 21, -2, -23, -1, 0, -3, 2, -26, 20, 31, -6, 38, -8, 37]",711358,18.0,16901.0,9.14948520283e+18,mouselab-mdp,71
