pid,worker_id,assignment_id,bonus,status
0,A014297063OPPUEBTOLM,3IAEQB9FMEKX1SVQGPZ7VJV7PWWWD0,1.29,
1,A106ENULARV9YI,3CFVK00FWLLI5P4C2OKRG24ZA33L62,1.21,
2,A10HOQZSWUIYHC,3KIBXJ1WD5UXAPSYHKUKI2DB62POKM,0.98,
3,A11ECAX3S2P9FA,3J2UYBXQQLC58TFQDVY8IICB75Y06E,1.25,
4,A123B1BJFECI7X,3RUIQRXJBBO0OA7JPSQT5LMW0XRLL7,1.34,
5,A12VSA5C02M3FT,3PS7W85Z8Z2T6LEF94PUM35IUH69TD,1.27,
6,A133N4QDFCRKM,36H9ULYP62U8TS9N0WBIUT4KZD8FJ4,0.0,
7,A13VTVP3F6DJZJ,34J10VATJFY9P6FQWU1CURTYTZJQIM,1.05,
8,A15Y9VMQ1AZ90V,34S6N1K2ZVJY2EOTY7BVDTTPJGHLHZ,1.07,
9,A17ELSQUMU0QT6,3LYA37P8IQNDRV3PDFPYCIDCZ36KBE,1.28,
10,A188SHJZPHE8BA,32VNZTT0A74FT0VBOKO85GTKK3JR48,1.34,
11,A18PFPO5K63ZL2,37Q970SNZE8A2GY5GR5BXSRDUM0S1U,1.24,
12,A18V3RFUE8SU7R,3YHH42UU5BFNREIX0Z4A71U8X0LL05,1.42,
13,A18WF86GTKUN3V,3BDCF01OGXUKO9EI87FJZTOS9CTYLA,1.31,
14,A19YVPULKT3XJ5,3WOKGM4L71GVXZLUDRK2ZIY2S510OC,1.4,
15,A1A7B93TND6OIG,3JWH6J9I9SDEZ1OSASHE4AUGTYCNBN,1.26,
16,A1AYYDLZ60894L,3VA45EW49NNV4O6C9AO2DNHCXWQ1OX,1.26,
17,A1AZ97YYFVWFGC,3TK8OJTYM1LTB0YBVOL69BTIW68VPE,1.35,
18,A1B76WYZ47BQJ,3RGU30DZTA8EZ214MJFVPJOTWDAMJ6,0.08,
19,A1BA1HVF140OC7,32XVDSJFPZXET63WFY93Q22CU3W2M9,0.25,
20,A1BIN5R8FF4FQR,3OSWBBLG1EXCQS0GQUVTX29EYY4DXC,1.22,
21,A1C2EP2A9P8QE4,3EJJQNKU9R595CJ63R8RZ52OP9CRH3,1.52,
22,A1C7XI68SED8JE,3GGAI1SQEVYRROVYCRY92FBY6T1MCS,1.13,
23,A1DDNPNUO1TNRC,3JWH6J9I9SDEZ1OSASHE4AUGTYCBNB,1.05,
24,A1DPSC5CV2W7GU,3EWIJTFFVO79L885JDH6U64OO1IE05,0.0,submitted
25,A1DZMZTXWOM9MR,3IAS3U3I0FGIAFZZO9JUCMRII4R2BJ,1.34,
26,A1EP1BT7SH6S1C,3M23Y66PO27592Z2MXHSSOIU2VSS60,1.38,bonused
27,A1G6F1HWIS2K2K,3IGI0VL647KYIVD1EXM0AUUF0Y3ON2,1.36,
28,A1GYW4MZ6NIN1O,3DQQ64TANGL6QPYGLYQ2VDCW3EWPW2,0.19,
29,A1H767UXHIT5IC,3NVC2EB65QZ385OT21BJ37UB9Q33Y2,1.3,
30,A1HCD5NKP8G2KK,352YTHGROVD246H8SFCERCREXULH41,0.0,
31,A1HIQZEC2ER7GS,3K3R2QNK8B386YT499F4RZRKDU1U9B,0.97,
32,A1HMO9XPRPUPWJ,38F5OAUN5NCZNTZRUDALUOBOOWBH7L,1.18,
33,A1HNNX44U3OF0X,32KTQ2V7RDFPTQOV07OI0PAQ097M9M,0.0,
34,A1HXEXQTZCJ1DW,3X31TUMD7XMNY33FWI8AL6DI2RL1LG,1.31,
35,A1IUY8XKI9HJLS,3JRJSWSMQHL5207220ZPW42VRF2E34,0.75,
36,A1J5BF2YM2BIX5,3YDTZAI2WXGR0VWUQQ9TZPB7G6Y14X,0.56,
37,A1JI69KTHNS7PJ,3QFUFYSY9YFIQAQ2XPOEORF1HGHF4C,1.3,
38,A1KTPYX40PRLVW,37UEWGM5HT8Y11YS12567IMH8KSR1G,1.31,
39,A1KUXDQ9VECR4V,3WJ1OXY92AGODKWWYCSZR2KFMMV8AU,0.97,
40,A1KYPXUBSBWJBY,34PGFRQONOBA4EVIQLLIYHQKUFOJWU,1.25,
41,A1MB4S8HFLPII1,39JEC7537U1AHBP7QJZ0PBUBXMECV0,1.27,
42,A1PTNLOGVFST94,3YT88D1N08Y8O0ZCYMASUZF0BBU3K7,1.44,
43,A1PXXMC3GQT2II,3K772S5NP8BKW8E1HLOR0Y35AJFHE7,1.19,
44,A1R4QL8Q72FY1Z,3MMN5BL1WZ43EOZFJYN89C740GOM3U,1.13,
45,A1SO9QOKYVLZZM,37WLF8U1WPQ7LJMUHO8Q12RKL2VK6T,1.3,
46,A1T56P6L5730HG,36W0OB37HWEI735XD824L84NYQXHZO,0.97,
47,A1T9KDKDFO114S,3KYQYYSHYV7PWJMOP38XEPILMTSOD9,0.32,
48,A1U6AMLVPVTPNQ,338JKRMM26ZH6VXP1GM54FDEP4HHAC,1.26,
49,A1V8MSGK7CVD8B,31HQ4X3T3SANSN2991NUH70RSRYLSK,1.28,
50,A1VRUEYOWHA0LK,3QECW5O0KH1A5YC36ECDAN0G8LJT52,1.35,
51,A1WWJFDLTXXQTJ,3UXUOQ9OKEXKD6RDO70TD2OKB2TA7D,1.36,
52,A1X5IZPCRLL0Z7,34S6N1K2ZVJY2EOTY7BVDTTPJHNLH7,1.21,
53,A1XBKAX2AVXF2O,36NEMU28XFD05M13TIYAE9I1Y9JWMB,0.18,
54,A1XVEKS9O73ERE,3XIQGXAUMC8W9JZ6ZHS7XAZICMV7X5,1.24,
