PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,score,test_idx,time_limit,version
none,0.65,0.01,True,5,24,4,False,after_each_move,2.95,none,0,65.25,"[10, 13, 3, 11, 8, 4]",True,0.993
none,0.76,0.01,True,5,24,4,False,after_each_move,2.95,none,1,76.0,"[8, 9, 11, 15, 10, 5]",True,0.993
none,1.63,0.01,True,5,24,4,False,after_each_move,2.95,none,2,163.25,"[10, 9, 14, 13, 4, 2]",True,0.993
none,0.06,0.01,True,0,24,4,False,after_each_move,2.5,none,3,5.5,"[9, 8, 1, 15, 4, 10]",True,0.993
none,0.42,0.01,True,5,24,4,False,after_each_move,2.95,none,4,41.5,"[14, 4, 1, 2, 15, 5]",True,0.993
none,0.0,0.01,False,5,24,4,False,after_each_move,2.95,none,5,,,True,0.993
none,0.8,0.01,True,6,24,4,False,after_each_move,3.5,none,6,80.0,"[7, 15, 2, 8, 3, 9]",True,0.993
none,1.65,0.01,True,0,24,4,False,after_each_move,2.5,none,7,165.0,"[15, 7, 12, 11, 3, 13]",True,0.993
none,0.57,0.01,True,5,24,4,False,after_each_move,2.95,none,8,57.25,"[6, 4, 8, 9, 12, 11]",True,0.993
none,1.33,0.01,True,0,24,4,False,after_each_move,2.5,none,9,132.5,"[14, 13, 15, 10, 8, 0]",True,0.993
none,0.78,0.01,True,4,24,4,False,after_each_move,2.5,none,10,78.0,"[3, 15, 7, 9, 0, 11]",True,0.993
none,0.0,0.01,True,2,24,4,False,after_each_move,3.5,none,11,-44.0,"[0, 13, 3, 15, 6, 11]",True,0.993
none,0.0,0.01,True,2,24,4,False,after_each_move,3.5,none,12,-57.0,"[12, 4, 1, 13, 6, 0]",True,0.993
none,0.0,0.01,False,6,24,4,False,after_each_move,3.5,none,13,,,True,0.993
none,1.29,0.01,True,6,24,4,False,after_each_move,3.5,none,14,129.0,"[7, 6, 0, 14, 8, 10]",True,0.993
none,1.84,0.01,True,4,24,4,False,after_each_move,2.5,none,15,184.0,"[7, 3, 2, 14, 0, 8]",True,0.993
none,0.0,0.01,True,6,24,4,False,after_each_move,3.5,none,16,-10.5,"[5, 8, 4, 12, 1, 6]",True,0.993
none,1.7,0.01,True,0,24,4,False,after_each_move,2.5,none,17,169.5,"[7, 14, 2, 9, 0, 5]",True,0.993
none,0.77,0.01,True,1,24,4,False,after_each_move,2.95,none,18,76.6,"[9, 1, 6, 10, 7, 12]",True,0.993
none,0.16,0.01,True,3,24,4,False,after_each_move,3.95,none,19,16.2,"[5, 8, 11, 2, 3, 7]",True,0.993
none,0.11,0.01,True,4,24,4,False,after_each_move,2.5,none,20,10.5,"[6, 10, 12, 13, 9, 15]",True,0.993
none,0.37,0.01,True,0,24,4,False,after_each_move,2.5,none,21,37.0,"[0, 13, 2, 4, 3, 5]",True,0.993
none,0.0,0.01,False,5,24,4,False,after_each_move,2.95,none,22,,,True,0.993
none,0.9,0.01,True,4,24,4,False,after_each_move,2.5,none,23,89.5,"[2, 5, 7, 14, 12, 11]",True,0.993
none,0.13,0.01,True,0,24,4,False,after_each_move,2.5,none,24,12.5,"[9, 1, 2, 0, 10, 13]",True,0.993
none,0.37,0.01,True,3,24,4,False,after_each_move,3.95,none,25,37.15,"[14, 2, 6, 13, 15, 1]",True,0.993
none,0.0,0.01,True,4,24,4,False,after_each_move,2.5,none,26,-108.5,"[14, 15, 10, 13, 5, 7]",True,0.993
none,0.88,0.01,True,2,24,4,False,after_each_move,3.5,none,27,88.0,"[14, 5, 1, 2, 15, 0]",True,0.993
none,0.64,0.01,True,0,24,4,False,after_each_move,2.5,none,28,64.0,"[8, 9, 3, 5, 12, 0]",True,0.993
none,0.37,0.01,True,1,24,4,False,after_each_move,2.95,none,29,37.05,"[5, 4, 10, 15, 11, 2]",True,0.993
none,0.85,0.01,True,2,24,4,False,after_each_move,3.5,none,30,85.0,"[5, 3, 8, 15, 10, 9]",True,0.993
none,0.05,0.01,True,3,24,4,False,after_each_move,3.95,none,31,5.05,"[2, 12, 9, 11, 15, 4]",True,0.993
none,0.0,0.01,True,2,24,4,False,after_each_move,3.5,none,32,-8.0,"[6, 2, 5, 12, 0, 1]",True,0.993
none,0.16,0.01,True,2,24,4,False,after_each_move,3.5,none,33,16.0,"[0, 14, 12, 6, 8, 1]",True,0.993
none,0.0,0.01,True,3,24,4,False,after_each_move,3.95,none,34,-36.4,"[4, 1, 5, 12, 14, 0]",True,0.993
none,0.78,0.01,True,3,24,4,False,after_each_move,3.95,none,35,77.85,"[13, 14, 4, 2, 1, 6]",True,0.993
none,0.16,0.01,True,3,24,4,False,after_each_move,3.95,none,36,16.0,"[8, 15, 4, 1, 3, 11]",True,0.993
none,0.0,0.01,True,3,24,4,False,after_each_move,3.95,none,37,-194.85,"[4, 3, 6, 1, 12, 15]",True,0.993
none,0.0,0.01,True,6,24,4,False,after_each_move,3.5,none,38,-56.0,"[1, 11, 10, 8, 7, 14]",True,0.993
none,0.4,0.01,True,5,24,4,False,after_each_move,2.95,none,39,40.0,"[13, 11, 0, 15, 14, 5]",True,0.993
none,0.87,0.01,True,5,24,4,False,after_each_move,2.95,none,40,86.65,"[15, 3, 6, 7, 4, 10]",True,0.993
none,1.1,0.01,True,2,24,4,False,after_each_move,3.5,none,41,110.0,"[12, 1, 2, 0, 15, 8]",True,0.993
none,0.0,0.01,False,3,24,4,False,after_each_move,3.95,none,42,,,True,0.993
none,0.33,0.01,True,3,24,4,False,after_each_move,3.95,none,43,33.2,"[5, 8, 10, 6, 14, 15]",True,0.993
none,0.0,0.01,True,4,24,4,False,after_each_move,2.5,none,44,-25.0,"[5, 7, 9, 10, 12, 2]",True,0.993
none,0.0,0.01,False,1,24,4,False,after_each_move,2.95,none,45,,,True,0.993
none,0.0,0.01,True,1,24,4,False,after_each_move,2.95,none,46,-32.0,"[4, 10, 1, 12, 0, 5]",True,0.993
none,0.0,0.01,True,2,24,4,False,after_each_move,3.5,none,47,-33.0,"[6, 14, 9, 10, 5, 11]",True,0.993
none,0.42,0.01,True,5,24,4,False,after_each_move,2.95,none,48,42.1,"[13, 7, 10, 1, 5, 0]",True,0.993
none,0.48,0.01,True,6,24,4,False,after_each_move,3.5,none,49,48.0,"[12, 11, 10, 6, 9, 3]",True,0.993
none,0.0,0.01,True,6,24,4,False,after_each_move,3.5,none,50,-40.0,"[13, 14, 3, 0, 9, 4]",True,0.993
none,0.0,0.01,False,0,24,4,False,after_each_move,2.5,none,51,,,True,0.993
none,1.82,0.01,True,4,24,4,False,after_each_move,2.5,none,52,181.5,"[13, 14, 0, 3, 9, 12]",True,0.993
none,0.53,0.01,True,6,24,4,False,after_each_move,3.5,none,53,52.5,"[7, 3, 8, 9, 2, 15]",True,0.993
none,0.28,0.01,True,5,24,4,False,after_each_move,2.95,none,54,27.7,"[8, 1, 11, 10, 3, 12]",True,0.993
none,0.0,0.01,True,4,24,4,False,after_each_move,2.5,none,55,-24.0,"[14, 12, 9, 7, 1, 0]",True,0.993
none,0.0,0.01,True,3,24,4,False,after_each_move,3.95,none,56,-237.2,"[14, 15, 11, 12, 6, 8]",True,0.993
none,0.0,0.01,True,0,24,4,False,after_each_move,2.5,none,57,-23.5,"[15, 13, 2, 12, 8, 4]",True,0.993
none,0.0,0.01,True,6,24,4,False,after_each_move,3.5,none,58,-18.0,"[9, 13, 11, 6, 4, 15]",True,0.993
none,0.36,0.01,True,2,24,4,False,after_each_move,3.5,none,59,36.0,"[4, 0, 8, 5, 14, 11]",True,0.993
none,0.12,0.01,True,5,24,4,False,after_each_move,2.95,none,60,11.65,"[9, 4, 12, 7, 6, 0]",True,0.993
none,0.0,0.01,True,1,24,4,False,after_each_move,2.95,none,61,-47.55,"[1, 2, 15, 7, 4, 10]",True,0.993
none,0.93,0.01,True,2,24,4,False,after_each_move,3.5,none,62,92.5,"[5, 1, 9, 12, 15, 8]",True,0.993
none,0.78,0.01,True,2,24,4,False,after_each_move,3.5,none,63,77.5,"[0, 14, 11, 2, 15, 7]",True,0.993
none,0.92,0.01,True,4,24,4,False,after_each_move,2.5,none,64,92.0,"[4, 9, 8, 11, 15, 0]",True,0.993
none,0.0,0.01,True,4,24,4,False,after_each_move,2.5,none,65,-48.0,"[6, 10, 12, 11, 3, 5]",True,0.993
none,0.86,0.01,True,1,24,4,False,after_each_move,2.95,none,66,86.15,"[0, 7, 12, 3, 6, 8]",True,0.993
none,0.0,0.01,True,3,24,4,False,after_each_move,3.95,none,67,-163.55,"[13, 6, 8, 3, 15, 14]",True,0.993
none,0.7,0.01,True,0,24,4,False,after_each_move,2.5,none,68,70.0,"[8, 6, 15, 5, 11, 13]",True,0.993
none,0.0,0.01,True,1,24,4,False,after_each_move,2.95,none,69,-81.8,"[10, 2, 8, 1, 4, 13]",True,0.993
none,0.0,0.01,True,5,24,4,False,after_each_move,2.95,none,70,-116.25,"[8, 3, 6, 12, 2, 15]",True,0.993
none,0.48,0.01,True,4,24,4,False,after_each_move,2.5,none,71,48.0,"[14, 10, 3, 15, 5, 1]",True,0.993
none,0.0,0.01,True,0,24,4,False,after_each_move,2.5,none,72,-68.5,"[4, 0, 13, 12, 5, 2]",True,0.993
none,1.12,0.01,True,2,24,4,False,after_each_move,3.5,none,73,112.0,"[14, 2, 1, 13, 5, 3]",True,0.993
none,0.64,0.01,True,6,24,4,False,after_each_move,3.5,none,74,63.5,"[6, 4, 7, 0, 9, 2]",True,0.993
none,0.8,0.01,True,5,24,4,False,after_each_move,2.95,none,75,80.0,"[4, 13, 5, 11, 8, 7]",True,0.993
