,pid,info_cost,trial_index,pr_sum,click_prs
0,0,1.25,1,-10.804628830915139,"[0.0, -10.804628830915139]"
1,0,1.25,2,-12.663233561664711,"[0.0, -1.8933968190209498, -2.7986364661293166, -7.9712002765144447]"
2,0,1.25,3,-3.4050420890909763,"[0.0, 0.0, -0.92793043936004338, -1.3463141622705557, -1.1307974874603772, 0.0]"
3,0,1.25,4,-11.710920256799973,"[-0.33357017758508789, -0.33357017758508789, -0.51736436557762566, -0.76475231345565575, -9.7616632225965159]"
4,0,1.25,5,-11.468474045647294,[-11.468474045647294]
5,0,1.25,6,-8.700578497680674,"[0.0, -0.55602317489534059, -2.0083254052632, -6.1362299175221331]"
6,0,1.25,7,-2.399269166877245,"[0.0, 0.0, -0.48858219331727781, -1.910686973559967]"
7,0,1.25,8,-7.808540806052386,"[0.0, 0.0, -7.8085408060523864]"
8,0,1.25,9,-10.433877014265375,"[0.0, -10.433877014265375]"
9,0,1.25,10,-9.128961812263423,"[0.0, 0.0, -0.55602317489534059, -8.5729386373680825]"
10,0,1.25,11,-8.25281547354694,"[0.0, 0.0, -8.2528154735469403]"
11,0,1.25,12,-11.937604816956082,"[0.0, -0.55602317489534059, -1.18054852482169, -1.18054852482169, -9.0204845924173611]"
12,0,1.25,13,-1.4668563318432302,"[0.0, 0.0, 0.0, -0.36340684052759897, -1.1034494913156312]"
13,0,1.25,14,-17.532119193624887,"[0.0, -3.594822244646779, -3.6316555445710152, -10.305641404407094]"
14,0,1.25,15,-7.275314708088976,"[0.0, -1.8933968190209498, -0.32270347004574873, -5.0592144190222772]"
15,0,1.25,16,-10.508875688647887,"[0.0, 0.0, -0.76475231345565575, 0.0, -9.7441233751922312]"
16,1,4.0,1,-0.26796396124193367,"[-0.018598129196243096, -0.24936583204569054]"
17,1,4.0,2,-2.1988262624620156,"[-0.018598129196243096, -1.999303077869468, -0.18092505539630466]"
18,1,4.0,3,-3.844784772190221,"[-0.018598129196243096, -3.6452615875976733, -0.18092505539630466]"
19,1,4.0,4,-2.1662130088190694,"[-0.018598129196243096, -1.9299470123832434, -0.018598129196243096, -0.018598129196243096, -0.18047160884709637]"
20,1,4.0,5,-7.8175056201273545,"[-0.018598129196243096, -1.999303077869468, -1.999303077869468, -3.6388537704758033, -0.16144756471637223]"
21,1,4.0,6,-0.018598129196243096,"[-0.018598129196243096, 0.0, 0.0]"
22,1,4.0,7,-0.018598129196243096,"[-0.018598129196243096, 0.0, 0.0]"
23,1,4.0,8,-7.6392300453145445,"[-0.018598129196243096, -1.999303077869468, -1.9824750677730307, -3.6388537704758033, 0.0, 0.0]"
24,1,4.0,9,-0.22458560437913502,"[-0.018598129196243096, -0.018598129196243096, -0.018598129196243096, -0.16879121679040573]"
25,1,4.0,10,-10.179721246743249,"[-0.018598129196243096, -1.999303077869468, -4.017555212087494, -1.9851584041533505, -1.985158404153351, -0.17394801928334225]"
26,1,4.0,11,-9.968280999810991,"[-0.018598129196243096, -1.999303077869468, -1.999303077869468, -1.9824750677730307, -3.7933758507667608, -0.17522579633602042]"
27,1,4.0,12,-0.2710810649816432,"[-0.018598129196243096, -0.018598129196243096, -0.233884806589157]"
28,1,4.0,13,-6.259117562193759,"[-0.018598129196243096, -0.018598129196243096, -4.0196739903623051, -1.9993030778694685, -0.20294423556949948]"
29,1,4.0,14,-0.26796396124193367,"[-0.018598129196243096, -0.24936583204569054]"
30,1,4.0,15,-7.846298853325384,"[-0.018598129196243096, -3.6766503668424022, -4.0484037891950386, -0.10264656809169992]"
31,1,4.0,16,-4.986564759278089,"[-0.018598129196243096, -1.999303077869468, -2.8365016384191808, -0.13216191379319753]"
32,2,0.1,1,-21.05255241436366,[-21.05255241436366]
33,2,0.1,2,-21.05255241436366,[-21.05255241436366]
34,2,0.1,3,-13.344704047854105,"[0.0, -0.21577466211472185, -0.21577466211472185, -0.2187399340146392, -12.694414789610022]"
35,2,0.1,4,-10.499559416278169,"[0.0, 0.0, 0.0, -0.035456594768186633, -10.464102821509982]"
36,2,0.1,5,-12.6232703025593,"[0.0, 0.0, -0.15132015956548273, -0.15132015956547917, -12.320629983428338]"
37,2,0.1,6,-21.05255241436366,[-21.05255241436366]
38,2,0.1,7,-21.05255241436366,[-21.05255241436366]
