,pid,info_cost,trial_index,click_num,click_pr
0,0,1.25,1,0,0.0
1,0,1.25,1,1,-10.804628830915139
2,0,1.25,2,0,0.0
3,0,1.25,2,1,-1.8933968190209498
4,0,1.25,2,2,-2.7986364661293166
5,0,1.25,2,3,-7.971200276514445
6,0,1.25,3,0,0.0
7,0,1.25,3,1,0.0
8,0,1.25,3,2,-0.9279304393600434
9,0,1.25,3,3,-1.3463141622705557
10,0,1.25,3,4,-1.1307974874603772
11,0,1.25,3,5,0.0
12,0,1.25,4,0,-0.3335701775850879
13,0,1.25,4,1,-0.3335701775850879
14,0,1.25,4,2,-0.5173643655776257
15,0,1.25,4,3,-0.7647523134556558
16,0,1.25,4,4,-9.761663222596516
17,0,1.25,5,0,-11.468474045647294
18,0,1.25,6,0,0.0
19,0,1.25,6,1,-0.5560231748953406
20,0,1.25,6,2,-2.0083254052632
21,0,1.25,6,3,-6.136229917522133
22,0,1.25,7,0,0.0
23,0,1.25,7,1,0.0
24,0,1.25,7,2,-0.4885821933172778
25,0,1.25,7,3,-1.910686973559967
26,0,1.25,8,0,0.0
27,0,1.25,8,1,0.0
28,0,1.25,8,2,-7.808540806052386
29,0,1.25,9,0,0.0
30,0,1.25,9,1,-10.433877014265375
31,0,1.25,10,0,0.0
32,0,1.25,10,1,0.0
33,0,1.25,10,2,-0.5560231748953406
34,0,1.25,10,3,-8.572938637368082
35,0,1.25,11,0,0.0
36,0,1.25,11,1,0.0
37,0,1.25,11,2,-8.25281547354694
38,0,1.25,12,0,0.0
39,0,1.25,12,1,-0.5560231748953406
40,0,1.25,12,2,-1.18054852482169
41,0,1.25,12,3,-1.18054852482169
42,0,1.25,12,4,-9.020484592417361
43,0,1.25,13,0,0.0
44,0,1.25,13,1,0.0
45,0,1.25,13,2,0.0
46,0,1.25,13,3,-0.363406840527599
47,0,1.25,13,4,-1.1034494913156312
48,0,1.25,14,0,0.0
49,0,1.25,14,1,-3.594822244646779
50,0,1.25,14,2,-3.6316555445710152
51,0,1.25,14,3,-10.305641404407094
52,0,1.25,15,0,0.0
53,0,1.25,15,1,-1.8933968190209498
54,0,1.25,15,2,-0.32270347004574873
55,0,1.25,15,3,-5.059214419022277
56,0,1.25,16,0,0.0
57,0,1.25,16,1,0.0
58,0,1.25,16,2,-0.7647523134556558
59,0,1.25,16,3,0.0
60,0,1.25,16,4,-9.744123375192231
61,1,4.0,1,0,-0.018598129196243096
62,1,4.0,1,1,-0.24936583204569054
63,1,4.0,2,0,-0.018598129196243096
64,1,4.0,2,1,-1.999303077869468
65,1,4.0,2,2,-0.18092505539630466
