action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_id,trial_type,pid
"[10474, 11051, 11617]","[u'left', u'left', u'up']",train_final,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'10', u'11'], u'time': [2134, 3532, 7248]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -10, 5]","[10470, 66, 48]",-3.0,"[None, None, None]","[u'', -10, 10, -10, 10, 5, -5, 10, -10, 5, -10, 5, -10]",486025,27.0,8.916704547234911e+18,mouselab-mdp,12
"[4689, 5214, 5837]","[u'left', u'left', u'up']",train_final,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'10'], u'time': [1230, 2410]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 5]","[4686, 6, 95]",13.0,"[None, None, None]","[u'', -5, 10, 5, 10, -5, -10, 10, 10, 5, 5, 5, 10]",494713,28.0,8.130696467842232e+18,mouselab-mdp,12
"[5652, 6239, 7041]","[u'up', u'up', u'left']",train_final,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'1'], u'time': [1533, 4560]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 10, 10]","[5649, 63, 281]",23.0,"[None, None, None]","[u'', 5, 10, -10, 10, 10, 5, -5, 10, -10, -5, 10, -5]",504960,29.0,8.737010464064418e+18,mouselab-mdp,12
"[11190, 12282, 12955]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'10'], u'time': [7943, 9749]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 5, -5]","[11187, 579, 151]",-7.0,"[None, None, None]","[u'', -5, 5, -10, -5, -10, -10, -10, -5, -5, 5, -5, 5]",605518,30.0,-8.315324230000916e+18,mouselab-mdp,12
"[5351, 5905, 6666]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9'], u'time': [1773]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 5]","[5346, 33, 244]",9.0,"[None, None, None]","[u'', 10, 10, 5, 10, -10, -10, -5, -5, 10, -5, 5, 10]",614775,31.0,-3.019010559255296e+18,mouselab-mdp,12
"[3477, 4083, 4751]","[u'up', u'up', u'left']",test,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9'], u'time': [1095]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 10, -5]","[3473, 85, 155]",-1.0,"[None, None, None]","[u'', -5, 10, -5, -5, -5, 5, -10, 5, -10, -10, 10, -10]",622227,32.0,3.932980794305715e+18,mouselab-mdp,12
"[4213, 4786, 5458]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'10'], u'time': [968, 3185]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 10, 5]","[4208, 57, 164]",18.0,"[None, None, None]","[u'', -5, 10, 5, 10, 5, -5, 10, -10, 5, 10, 5, -10]",630657,33.0,7.308726088184663e+18,mouselab-mdp,12
"[2087, 2621, 3444]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9'], u'time': [671]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 10]","[2082, 12, 300]",14.0,"[None, None, None]","[u'', 10, -10, 5, 5, 5, 5, -5, 5, 10, -5, 10, -10]",636806,34.0,-6.577176273229301e+18,mouselab-mdp,12
"[5705, 6548, 7782]","[u'up', u'up', u'left']",test,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'10'], u'time': [1237, 4279]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -10, 10]","[5701, 333, 717]",3.0,"[None, None, None]","[u'', 5, -10, 5, 10, 10, 5, 10, 10, 5, -10, -10, -10]",647245,35.0,2.8266579347923113e+18,mouselab-mdp,12
"[3842, 4747, 5286]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'10'], u'time': [1173, 2385]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -10, -10]","[3836, 387, 27]",-17.0,"[None, None, None]","[u'', 5, -10, 10, -10, 10, -5, 10, 5, 5, -10, -10, -10]",654996,36.0,-6.90593884411209e+17,mouselab-mdp,12
