,pid,info_cost,PR_type,message,trial_index,trial_id,delays,score,n_click,clicks,click_times,path,action_times
30,1,1.0001,none,none,15,1.0,[],32.0,4,"[12, 15, 3, 8]","[884, 2062, 3307, 4282]","[1, 6, 8]","[5459, 8405, 9775]"
31,1,1.0001,none,none,16,15.0,[],35.0,1,[12],[1600],"[1, 10, 12]","[5383, 7626, 8786]"
32,3,1.0001,objectLevel,full,1,7.0,[5],19.0,1,[5],[5515],"[1, 6, 7]","[7460, 17164, 26570]"
33,3,1.0001,objectLevel,full,2,9.0,[9],-8.0,4,"[13, 9, 1, 5]","[2472, 4954, 6930, 8568]","[1, 10, 12]","[10695, 29965, 36164]"
34,3,1.0001,objectLevel,full,3,8.0,[23],-20.0,0,[],[],"[1, 14, 15]","[1795, 34394, 38330]"
35,3,1.0001,objectLevel,full,4,11.0,[9],-16.0,4,"[13, 9, 5, 1]","[4479, 6446, 8167, 9625]","[1, 2, 3]","[11286, 25278, 30893]"
36,3,1.0001,objectLevel,full,5,10.0,[36],-48.0,4,"[13, 9, 5, 1]","[2669, 3882, 5023, 6292]","[1, 6, 7]","[8152, 46242, 49634]"
37,3,1.0001,objectLevel,full,6,5.0,[5],16.0,4,"[13, 9, 1, 5]","[2629, 3903, 5497, 6724]","[1, 2, 3]","[7658, 20546, 22169]"
38,3,1.0001,objectLevel,full,7,2.0,[9],-8.0,4,"[9, 13, 1, 5]","[1539, 3075, 4645, 5894]","[1, 6, 7]","[10711, 56623, 59749]"
39,3,1.0001,objectLevel,full,8,15.0,[5],20.0,0,[],[],"[1, 14, 15]","[7296, 18240, 20183]"
40,3,1.0001,objectLevel,full,9,1.0,[14],12.0,0,[],[],"[1, 10, 11]","[1764, 36453, 37571]"
41,3,1.0001,objectLevel,full,10,6.0,[9],12.0,0,[],[],"[1, 6, 7]","[5630, 17014, 17665]"
42,3,1.0001,objectLevel,full,11,14.0,[],4.0,0,[],[],"[1, 10, 11]","[1043, 2603, 3819]"
43,3,1.0001,objectLevel,full,12,4.0,[],-12.0,0,[],[],"[1, 2, 3]","[3008, 4411, 6065]"
44,3,1.0001,objectLevel,full,13,13.0,[],20.0,0,[],[],"[1, 2, 3]","[3784, 5288, 6488]"
45,3,1.0001,objectLevel,full,14,3.0,[],-20.0,0,[],[],"[1, 6, 7]","[1692, 2628, 4484]"
46,3,1.0001,objectLevel,full,15,0.0,[],-28.0,0,[],[],"[1, 6, 8]","[2330, 3369, 4865]"
47,3,1.0001,objectLevel,full,16,12.0,[],28.0,0,[],[],"[1, 10, 12]","[1529, 2633, 4169]"
48,4,1.0,objectLevel,full,1,13.0,[36],-36.0,0,[],[],"[1, 6, 7]","[6522, 46985, 51193]"
49,4,1.0,objectLevel,full,2,2.0,[23],-4.0,0,[],[],"[1, 14, 15]","[1701, 32333, 33781]"
50,4,1.0,objectLevel,full,3,0.0,[0],4.0,0,[],[],"[1, 14, 16]","[1307, 3779, 4939]"
51,4,1.0,objectLevel,full,4,4.0,[23],-12.0,0,[],[],"[1, 2, 4]","[709, 33542, 34781]"
52,4,1.0,objectLevel,full,5,8.0,[9],-12.0,0,[],[],"[1, 2, 3]","[2010, 11714, 13754]"
53,4,1.0,objectLevel,full,6,12.0,[0],36.0,0,[],[],"[1, 10, 11]","[2460, 4749, 6389]"
54,4,1.0,objectLevel,full,7,1.0,[0],28.0,0,[],[],"[1, 6, 7]","[2341, 4019, 5227]"
55,4,1.0,objectLevel,full,8,3.0,[5],-12.0,0,[],[],"[1, 2, 4]","[5607, 11672, 12951]"
56,4,1.0,objectLevel,full,9,9.0,[5],-28.0,0,[],[],"[1, 6, 7]","[474, 16490, 17618]"
57,4,1.0,objectLevel,full,10,5.0,[5],20.0,0,[],[],"[1, 2, 3]","[322, 58227, 59626]"
58,4,1.0,objectLevel,full,11,7.0,[],20.0,0,[],[],"[1, 6, 7]","[1989, 3181, 4020]"
59,4,1.0,objectLevel,full,12,6.0,[],-4.0,0,[],[],"[1, 2, 3]","[2635, 3802, 4818]"
60,4,1.0,objectLevel,full,13,10.0,[],-44.0,0,[],[],"[1, 6, 7]","[1460, 2643, 3483]"
61,4,1.0,objectLevel,full,14,15.0,[],12.0,0,[],[],"[1, 2, 3]","[25719, 26671, 27431]"
62,4,1.0,objectLevel,full,15,14.0,[],12.0,0,[],[],"[1, 10, 12]","[1844, 2860, 3732]"
63,4,1.0,objectLevel,full,16,11.0,[],-12.0,0,[],[],"[1, 2, 3]","[327, 1728, 2728]"
64,5,0.01,objectLevel,full,1,12.0,[0],35.84,16,"[5, 9, 13, 1, 2, 4, 3, 10, 11, 12, 7, 6, 8, 15, 14, 16]","[4846, 7836, 8772, 9642, 14210, 16454, 17427, 18667, 19093, 19676, 21291, 21731, 22203, 23212, 23883, 24451]","[1, 10, 11]","[46782, 48109, 49317]"
65,5,0.01,objectLevel,full,2,6.0,[0],27.84,16,"[9, 13, 5, 1, 2, 4, 3, 10, 11, 12, 14, 16, 15, 6, 7, 8]","[2578, 3289, 4370, 4930, 7121, 8250, 8946, 10706, 11273, 11929, 14643, 15402, 16082, 19003, 19626, 20145]","[1, 10, 12]","[24730, 25603, 26411]"
66,5,0.01,objectLevel,full,3,11.0,[0],11.84,16,"[9, 13, 5, 1, 14, 16, 15, 4, 2, 3, 6, 7, 8, 10, 11, 12]","[44988, 46291, 46970, 47867, 49515, 50322, 50914, 52218, 53043, 53426, 57355, 57746, 58538, 59882, 60354, 60907]","[1, 10, 12]","[79589, 80837, 81932]"
67,5,0.01,objectLevel,full,4,5.0,[0],27.9,10,"[9, 1, 13, 5, 2, 4, 3, 10, 11, 12]","[2964, 3852, 4554, 5164, 6051, 8379, 9427, 13371, 14083, 14995]","[1, 10, 12]","[18062, 18885, 19677]"
68,5,0.01,objectLevel,full,5,2.0,[0],35.9,10,"[9, 13, 1, 5, 2, 4, 3, 10, 12, 11]","[2140, 2989, 4180, 5717, 6717, 7332, 7964, 9038, 9509, 10269]","[1, 10, 12]","[12184, 12952, 13704]"
69,5,0.01,objectLevel,full,6,0.0,[0],3.84,16,"[9, 13, 5, 1, 10, 11, 12, 2, 4, 3, 14, 16, 15, 8, 6, 7]","[2342, 3293, 4404, 4980, 7396, 7980, 8470, 9820, 10340, 10981, 14164, 14548, 15276, 16516, 17372, 17733]","[1, 10, 12]","[25528, 26271, 27023]"
70,5,0.01,objectLevel,full,7,13.0,[18],12.0,0,[],[],"[1, 10, 11]","[2048, 29190, 32062]"
71,5,0.01,objectLevel,full,8,1.0,[0],35.93,7,"[9, 13, 1, 5, 6, 7, 8]","[1485, 2405, 3021, 3541, 4541, 5285, 5997]","[1, 6, 8]","[10168, 11087, 12047]"
