theta_hat_idx,0,1,2,3,4,5,6,7
0,0.48728713393211365,0.14288389682769775,0.14563202857971191,0.11640405654907227,0.032765790820121765,0.029995469376444817,0.036606114357709885,0.008425477892160416
1,0.22668638825416565,0.3864210247993469,0.07256266474723816,0.05540724843740463,0.019844884052872658,0.11652501672506332,0.09694931656122208,0.025603363290429115
2,0.2641740143299103,0.054018691182136536,0.42633065581321716,0.04937193915247917,0.09712040424346924,0.011303623206913471,0.07760273665189743,0.02007799781858921
3,0.23690330982208252,0.04992520436644554,0.05317364260554314,0.44359150528907776,0.1035071313381195,0.07634205371141434,0.014610541053116322,0.0219466220587492
4,0.10161904990673065,0.030074680224061012,0.21545414626598358,0.18434515595436096,0.31362560391426086,0.037177473306655884,0.043310366570949554,0.07439352571964264
5,0.10008019953966141,0.18189993500709534,0.02645452506840229,0.18941403925418854,0.05454730987548828,0.31610962748527527,0.053659431636333466,0.07783499360084534
6,0.12193210422992706,0.1867283284664154,0.20592835545539856,0.03176433965563774,0.04550588130950928,0.03303523734211922,0.3145262897014618,0.06057943031191826
7,0.05033154413104057,0.09346625953912735,0.08834406733512878,0.0911412239074707,0.1463182121515274,0.13911624252796173,0.13728973269462585,0.2539927065372467
