action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
,,,,32.0,,,,,1572,,,,136481,,,text,0
,,,,32.0,,,,,1255,,,,189611,,,text,0
,,,,32.0,,,,,1114,,,,283335,,,text,0
,,,,32.0,,,,,1272,,,,369637,,,text,0
,,,,32.0,,,,,1110,,,,116421,,,text,1
,,,,32.0,,,,,958,,,,154226,,,text,1
,,,,32.0,,,,,1069,,,,252600,,,text,1
,,,,32.0,,,,,888,,,,304839,,,text,1
,,,,32.0,,,,,1412,,,,135215,,,text,2
,,,,32.0,,,,,878,,,,175619,,,text,2
,,,,32.0,,,,,1070,,,,293699,,,text,2
,,,,32.0,,,,,1170,,,,365516,,,text,2
