action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_type,pid
"[11710, 12414, 13090]","[u'down', u'down', u'left']",test,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'3', u'2', u'6', u'7', u'8', u'16', u'15', u'11', u'12'], u'time': [971, 1425, 1912, 2393, 4034, 4800, 6778, 7361, 7913, 8745, 9833]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 8, 8]","[11708, 185, 150]",13.0,"[None, None, None]",,502127,39.0,mouselab-mdp,0
"[9014, 9629, 10277]","[u'left', u'left', u'up']",test,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'2', u'3', u'4', u'7', u'14', u'13'], u'time': [718, 1264, 1788, 2266, 3185, 3664, 4169]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 24]","[9011, 117, 144]",17.0,"[None, None, None]",,514735,40.0,mouselab-mdp,0
"[6876, 7543, 8230]","[u'down', u'down', u'right']",test,,,"[0, 4, 8, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'2', u'3', u'4', u'8', u'16', u'15'], u'time': [943, 2508, 3076, 3660, 4336, 4883, 5408]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, -8, 8]","[6873, 154, 170]",17.0,"[None, None, None]",,525007,41.0,mouselab-mdp,0
"[4666, 5276, 5946]","[u'left', u'left', u'down']",test,,,"[0, 3, 7, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'2', u'3', u'4', u'7', u'14', u'13'], u'time': [569, 986, 1429, 1945, 2509, 2978, 3463]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 8, 24]","[4663, 93, 151]",49.0,"[None, None, None]",,532944,42.0,mouselab-mdp,0
"[12463, 13107, 16829]","[u'right', u'right', u'up']",test,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'2', u'3', u'4', u'5', u'8', u'7', u'9', u'10', u'6'], u'time': [668, 2205, 2652, 3194, 3756, 4413, 6297, 7717, 8245, 10254]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 8]","[12461, 116, 3219]",-2.0,"[None, None, None]",,552438,43.0,mouselab-mdp,0
"[7783, 8377, 9000]","[u'left', u'left', u'down']",test,,,"[0, 3, 7, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'3', u'2', u'5', u'7', u'13', u'14'], u'time': [892, 1391, 1891, 2342, 3883, 5052, 5820, 6293]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 8, 24]","[7775, 71, 110]",32.0,"[None, None, None]",,564157,44.0,mouselab-mdp,0
"[10730, 11316, 11841]","[u'right', u'right', u'up']",test,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'2', u'3', u'4', u'5', u'10', u'9'], u'time': [4900, 5397, 6015, 6552, 7396, 8249, 8835]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 40, 40]","[10727, 65, 4]",81.0,"[None, None, None]",,580091,45.0,mouselab-mdp,0
"[8518, 10092, 10834]","[u'up', u'up', u'left']",test,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'3', u'2', u'6', u'7', u'8'], u'time': [2959, 3393, 4234, 4754, 5220, 6531, 7036]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 24, -8]","[8514, 1055, 215]",17.0,"[None, None, None]",,593415,46.0,mouselab-mdp,0
"[5720, 6429, 7136]","[u'down', u'down', u'left']",test,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'3', u'2', u'8', u'15', u'16'], u'time': [934, 1455, 2174, 2670, 3505, 4013, 4507]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 8]","[5716, 190, 186]",1.0,"[None, None, None]",,602579,47.0,mouselab-mdp,0
"[7563, 8161, 8727]","[u'right', u'right', u'down']",test,,,"[0, 1, 5, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'2', u'3', u'4', u'5', u'10', u'9'], u'time': [1185, 1967, 3459, 4007, 5191, 5552, 6104]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, -8, 24]","[7560, 75, 42]",33.0,"[None, None, None]",,613543,48.0,mouselab-mdp,0
"[9120, 9795, 10551]","[u'down', u'down', u'left']",test,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'1', u'2', u'3', u'8', u'5', u'9', u'10', u'16', u'15'], u'time': [1230, 1732, 2259, 3131, 3835, 5003, 5656, 6276, 7467, 8067]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 8, 8]","[9116, 153, 217]",30.0,"[None, None, None]",,626193,49.0,mouselab-mdp,0
"[2697, 3685, 7900]","[u'right', u'right', u'up']",train_basic,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 40]","[2691, 466, 1199]",40.0,"[None, None, None]",,13521,0.0,mouselab-mdp,1
"[2903, 3767, 4764]","[u'left', u'left', u'up']",train_basic,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 40, 8]","[2897, 311, 420]",40.0,"[None, None, None]",,21377,1.0,mouselab-mdp,1
"[2305, 3959, 4812]","[u'left', u'left', u'up']",train_basic,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 24, -8]","[2279, 1121, 295]",40.0,"[None, None, None]",,28640,2.0,mouselab-mdp,1
"[1252, 1840, 2534]","[u'down', u'down', u'right']",train_basic,,,"[0, 4, 8, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, 8, 24]","[1248, 38, 172]",8.0,"[None, None, None]",,35190,3.0,mouselab-mdp,1
"[1044, 1649, 2203]","[u'right', u'right', u'up']",train_basic,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 40, 40]","[1038, 79, 13]",104.0,"[None, None, None]",,40449,4.0,mouselab-mdp,1
"[920, 2480, 3040]","[u'right', u'right', u'up']",train_basic,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[40, 8, 24]","[916, 1042, 32]",72.0,"[None, None, None]",,45796,5.0,mouselab-mdp,1
