action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_type,pid
"[505, 1401, 2208]","[u'right', u'right', u'up']",train_hidden,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 8, 8]","[503, 371, 295]",8.0,"[None, None, None]",,138736,13.0,mouselab-mdp,2
"[1149, 1974, 2890]","[u'up', u'up', u'left']",train_hidden,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 8, -8]","[1147, 315, 398]",8.0,"[None, None, None]",,144158,14.0,mouselab-mdp,2
"[20019, 20876, 21611]","[u'right', u'right', u'down']",train_inspector,,,"[0, 1, 5, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'13'], u'time': [13751, 14573, 15258]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, -8, -8]","[20018, 333, 220]",-40.0,"[None, None, None]",,170795,15.0,mouselab-mdp,2
"[5229, 5809, 6378]","[u'up', u'up', u'right']",train_inspector,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11'], u'time': [1044, 1651, 3791]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 24, -8]","[5227, 69, 55]",8.0,"[None, None, None]",,180867,16.0,mouselab-mdp,2
"[7330, 8067, 8812]","[u'right', u'right', u'up']",train_inspector,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'3'], u'time': [985, 2344, 6126]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, -8, -24]","[7328, 224, 221]",-40.0,"[None, None, None]",,192123,17.0,mouselab-mdp,2
"[4939, 5518, 6253]","[u'up', u'up', u'left']",train_inspector,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'1'], u'time': [1138, 2226, 3773]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -24, -24]","[4935, 64, 217]",-40.0,"[None, None, None]",,200885,18.0,mouselab-mdp,2
"[4087, 4921, 5691]","[u'up', u'up', u'right']",train_inspector,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'1'], u'time': [1408, 2275, 3124]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 8, -8]","[4080, 315, 253]",-8.0,"[None, None, None]",,209450,19.0,mouselab-mdp,2
"[23591, 24230, 24938]","[u'left', u'left', u'down']",train_inspect_cost,,,"[0, 3, 7, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'10', u'16'], u'time': [20232, 21678, 22578]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 24, 8]","[23588, 119, 194]",21.0,"[None, None, None]",,239308,20.0,mouselab-mdp,2
"[6485, 7029, 7914]","[u'left', u'left', u'down']",train_inspect_cost,,,"[0, 3, 7, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'11', u'10'], u'time': [983, 1950, 5170]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 8, 24]","[6483, 36, 355]",37.0,"[None, None, None]",,249578,21.0,mouselab-mdp,2
"[5445, 6044, 6617]","[u'down', u'down', u'left']",train_inspect_cost,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'15', u'10', u'12'], u'time': [1066, 1903, 2839, 4181]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-40, -24, 24]","[5442, 78, 55]",-44.0,"[None, None, None]",,258979,22.0,mouselab-mdp,2
"[11104, 11804, 12445]","[u'left', u'left', u'up']",train_inspect_cost,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'10', u'16', u'13'], u'time': [3328, 5761, 6927, 10029]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, -40, 40]","[11102, 182, 124]",-12.0,"[None, None, None]",,274485,23.0,mouselab-mdp,2
"[5685, 6354, 6996]","[u'left', u'left', u'down']",train_inspect_cost,,,"[0, 3, 7, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'6', u'15', u'7'], u'time': [1343, 3780, 4699]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 40, -24]","[5683, 159, 136]",21.0,"[None, None, None]",,283994,24.0,mouselab-mdp,2
"[12386, 13522, 14324]","[u'left', u'left', u'up']",train_final,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[40, -8, -8]","[12384, 617, 285]",24.0,"[None, None, None]",,303346,25.0,mouselab-mdp,2
"[612, 1797, 2557]","[u'up', u'up', u'left']",train_final,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-40, -24, -24]","[609, 669, 248]",-88.0,"[None, None, None]",,308322,26.0,mouselab-mdp,2
"[490, 1391, 5010]","[u'right', u'right', u'down']",train_final,,,"[0, 1, 5, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 8]","[485, 383, 3098]",8.0,"[None, None, None]",,316248,27.0,mouselab-mdp,2
"[5655, 6220, 7165]","[u'down', u'down', u'left']",train_final,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'2', u'4'], u'time': [2482, 3579, 4689]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -24, -24]","[5652, 48, 427]",-43.0,"[None, None, None]",,326138,28.0,mouselab-mdp,2
"[1787, 2556, 3247]","[u'left', u'left', u'up']",train_final,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, -8, -8]","[1785, 259, 169]",-24.0,"[None, None, None]",,331990,29.0,mouselab-mdp,2
"[6163, 6775, 7607]","[u'left', u'left', u'up']",test,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'1'], u'time': [2825, 3710, 4978]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 24, -8]","[6161, 104, 320]",37.0,"[None, None, None]",,347318,30.0,mouselab-mdp,2
"[3555, 4304, 5406]","[u'up', u'up', u'left']",test,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'1'], u'time': [819, 1650, 2378]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 40, -8]","[3552, 226, 578]",37.0,"[None, None, None]",,355543,31.0,mouselab-mdp,2
"[6661, 7254, 8025]","[u'down', u'down', u'right']",test,,,"[0, 4, 8, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'3', u'16'], u'time': [1700, 2838, 3748, 5603]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[40, 8, 8]","[6654, 69, 259]",52.0,"[None, None, None]",,365882,32.0,mouselab-mdp,2
"[4020, 4576, 5789]","[u'down', u'down', u'left']",test,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'1', u'3'], u'time': [1020, 2064, 2986]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, -40, -8]","[4018, 33, 695]",-27.0,"[None, None, None]",,373984,33.0,mouselab-mdp,2
"[8193, 8836, 9485]","[u'right', u'right', u'down']",test,,,"[0, 1, 5, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'4', u'1', u'10'], u'time': [2845, 3892, 4715, 5509, 6825]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, -8, 8]","[8190, 130, 130]",19.0,"[None, None, None]",,386489,34.0,mouselab-mdp,2
"[4153, 4779, 5748]","[u'up', u'up', u'right']",test,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'1'], u'time': [1240, 2317, 3151]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 24, -24]","[4150, 116, 452]",5.0,"[None, None, None]",,395407,35.0,mouselab-mdp,2
"[6436, 7091, 7787]","[u'right', u'right', u'up']",test,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'1', u'4'], u'time': [2501, 3458, 4310, 5408]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -24, 8]","[6434, 137, 184]",-12.0,"[None, None, None]",,405941,36.0,mouselab-mdp,2
"[4713, 5436, 6174]","[u'right', u'right', u'down']",test,,,"[0, 1, 5, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'10'], u'time': [2205, 3804]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, -24, 24]","[4706, 202, 224]",22.0,"[None, None, None]",,414665,37.0,mouselab-mdp,2
"[4212, 5046, 5904]","[u'right', u'right', u'down']",test,,,"[0, 1, 5, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'10'], u'time': [1459, 2439]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, -8, 24]","[4210, 325, 350]",-10.0,"[None, None, None]",,422924,38.0,mouselab-mdp,2
"[1099, 1967, 2555]","[u'right', u'right', u'up']",test,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, -8, -8]","[1097, 352, 76]",-24.0,"[None, None, None]",,428068,39.0,mouselab-mdp,2
"[3119, 3758, 4530]","[u'up', u'up', u'right']",test,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'16', u'12'], u'time': [879, 1954]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, -8, 24]","[3117, 131, 254]",-10.0,"[None, None, None]",,435409,40.0,mouselab-mdp,2
"[3478, 4196, 4896]","[u'down', u'down', u'left']",test,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'13', u'15'], u'time': [978, 2282]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 8, 40]","[3476, 199, 183]",38.0,"[None, None, None]",,442846,41.0,mouselab-mdp,2
"[9577, 10242, 10963]","[u'down', u'down', u'right']",test,,,"[0, 4, 8, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'15', u'10', u'12', u'13', u'14', u'16'], u'time': [1199, 2274, 3188, 4239, 5645, 6630]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 8]","[9575, 150, 206]",2.0,"[None, None, None]",,456070,42.0,mouselab-mdp,2
"[7823, 8528, 9246]","[u'left', u'left', u'up']",test,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'10', u'16', u'13'], u'time': [2870, 3959, 6757]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 40]","[7817, 194, 196]",37.0,"[None, None, None]",,467723,43.0,mouselab-mdp,2
"[3412, 4202, 4992]","[u'down', u'down', u'left']",test,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'15'], u'time': [1030, 1895]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 8, 24]","[3410, 275, 282]",22.0,"[None, None, None]",,475267,44.0,mouselab-mdp,2
"[5290, 6063, 6832]","[u'down', u'down', u'left']",test,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'15', u'14', u'11', u'10'], u'time': [1260, 2011, 3291, 4443]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 24, 24]","[5287, 257, 260]",52.0,"[None, None, None]",,484481,45.0,mouselab-mdp,2
"[3697, 4378, 5134]","[u'left', u'left', u'down']",test,,,"[0, 3, 7, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14'], u'time': [2112]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, 40, 40]","[3695, 170, 242]",55.0,"[None, None, None]",,492447,46.0,mouselab-mdp,2
"[7348, 8181, 8816]","[u'right', u'right', u'up']",test,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'15', u'9'], u'time': [2897, 3690, 6075]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 24, 40]","[7341, 316, 118]",85.0,"[None, None, None]",,504098,47.0,mouselab-mdp,2
"[9077, 9846, 10452]","[u'left', u'left', u'up']",test,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'9', u'16', u'14', u'13', u'15', u'11'], u'time': [1566, 2887, 3849, 4798, 5754, 6810, 8057]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 8, 8]","[9075, 256, 97]",17.0,"[None, None, None]",,517333,48.0,mouselab-mdp,2
"[1857, 2548, 3254]","[u'left', u'left', u'down']",test,,,"[0, 3, 7, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14'], u'time': [765]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 40]","[1850, 177, 183]",39.0,"[None, None, None]",,522852,49.0,mouselab-mdp,2
"[1364, 2546, 3697]","[u'down', u'down', u'right']",train_basic,,,"[0, 4, 8, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 40]","[1360, 647, 626]",40.0,"[None, None, None]",,5494,0.0,mouselab-mdp,3
"[5454, 7660, 8625]","[u'down', u'down', u'right']",train_basic,,,"[0, 4, 8, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, -24, 8]","[5452, 1679, 443]",8.0,"[None, None, None]",,17238,1.0,mouselab-mdp,3
"[4409, 5096, 5640]","[u'up', u'up', u'right']",train_basic,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, 40, -8]","[4407, 166, 27]",8.0,"[None, None, None]",,25045,2.0,mouselab-mdp,3
"[1610, 2266, 3002]","[u'up', u'up', u'left']",train_basic,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 24, 24]","[1608, 138, 208]",56.0,"[None, None, None]",,30116,3.0,mouselab-mdp,3
"[4250, 5176, 5753]","[u'down', u'down', u'left']",train_basic,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 8]","[4249, 412, 49]",8.0,"[None, None, None]",,37924,4.0,mouselab-mdp,3
"[2765, 3404, 4013]","[u'down', u'down', u'right']",train_basic,,,"[0, 4, 8, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[40, -8, 8]","[2763, 121, 81]",40.0,"[None, None, None]",,43909,5.0,mouselab-mdp,3
"[983, 1637, 2293]","[u'up', u'up', u'right']",train_basic,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 24, 8]","[982, 130, 143]",40.0,"[None, None, None]",,48293,6.0,mouselab-mdp,3
"[2917, 3509, 4116]","[u'left', u'left', u'down']",train_basic,,,"[0, 3, 7, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 24, 40]","[2916, 76, 96]",56.0,"[None, None, None]",,54293,7.0,mouselab-mdp,3
"[914, 1633, 2288]","[u'up', u'up', u'left']",train_basic,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 24, 8]","[913, 204, 145]",40.0,"[None, None, None]",,58388,8.0,mouselab-mdp,3
"[1282, 1939, 2674]","[u'up', u'up', u'right']",train_basic,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 40, 8]","[1281, 133, 218]",56.0,"[None, None, None]",,62997,9.0,mouselab-mdp,3
"[889, 1878, 3367]","[u'up', u'up', u'right']",train_hidden,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, -8, 8]","[887, 466, 966]",24.0,"[None, None, None]",,70052,10.0,mouselab-mdp,3
"[399, 1167, 2303]","[u'down', u'down', u'right']",train_hidden,,,"[0, 4, 8, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[40, 24, -8]","[398, 245, 618]",56.0,"[None, None, None]",,74692,11.0,mouselab-mdp,3
"[475, 1307, 2395]","[u'right', u'right', u'up']",train_hidden,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-40, -8, -24]","[473, 318, 564]",-72.0,"[None, None, None]",,79109,12.0,mouselab-mdp,3
"[506, 1242, 2266]","[u'down', u'down', u'left']",train_hidden,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 24, 8]","[505, 221, 510]",24.0,"[None, None, None]",,83493,13.0,mouselab-mdp,3
"[7192, 7927, 9014]","[u'up', u'up', u'left']",train_hidden,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-40, -24, 24]","[7190, 222, 559]",-40.0,"[None, None, None]",,94661,14.0,mouselab-mdp,3
"[23436, 24459, 25035]","[u'right', u'right', u'up']",train_inspector,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'6', u'8', u'7', u'5', u'10', u'14', u'13', u'3', u'16', u'4', u'15', u'11', u'2', u'12', u'1'], u'time': [4131, 5396, 6512, 7659, 10009, 13170, 14512, 15384, 16039, 16816, 17164, 17484, 18563, 18963, 19299, 20516]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 24, -8]","[23433, 506, 64]",40.0,"[None, None, None]",,123428,15.0,mouselab-mdp,3
"[10579, 14755, 15412]","[u'up', u'up', u'left']",train_inspector,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'1', u'5', u'10'], u'time': [7266, 8505, 9003, 9544]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, 24, 8]","[10578, 3658, 137]",8.0,"[None, None, None]",,140837,16.0,mouselab-mdp,3
