,Unnamed: 0,id,,condition,score,norm_score
371,2978,A289S5O8KN4JYI:3WYGZ5XF3XMIS6LYNWBNPKP2NQZKSA,,0,354,-621
377,2984,A1HVHDYLPOKOE5:3SITXWYCNWGPVK33BT4HPPN4FBSBXP,,1,166,-723
384,2991,A2JV461I3AIXOH:3C8HJ7UOP81AJ67F30IB0QE9ZAWMZO,,0,95,-794
390,2997,A2ZWOPNOG2A5PX:31UV0MXWNRJQG9XZBXD3JT0XH225II,,2,535,-219
397,3004,A1OA4IW422FPKD:3I7DHKZYGO766IV9AP7IGWN51AA5FR,,2,515,-53
404,3011,A1XEZ0X9ABFUDP:3TXWC2NHN0XYBA27JZKYZBBMCWN9S5,,2,574,-147
411,3018,A1OIIHLOC90XCH:392CY0QWG2Y8KQTZXSUTE1UJH67I4Q,,0,-94,-732
417,3024,AX4QV62HBKJ34:3I7DHKZYGO766IV9AP7IGWN51AAF51,,0,144,-521
423,3030,ABQFPYODMOD9U:3KWTYT0871AS6A55W0AGB9SPY6W5LW,,1,442,-309
430,3037,AKMQH2MGTUWO9:3DHE4R9OCXIKLL8H3QB20AK5IFJ2GM,,0,630,-19
436,3043,A1F5E941TP0UIZ:31Q0U3WYDQMU37FKRJ7UPEX7R6M717,,1,645,1
443,3050,A2JK9URISOXMBQ:3COPXFW7XCJLFE56VF7TUFKR06SPKZ,,1,710,-11
450,3057,A9WFXKAF1RF5Q:3PZDLQMM0US749SC14FJAJZQKNR2CC,,2,59,-851
457,3064,A1SWGSFIMZJQE:3NC5L260MPTSES1RF43HP2NWI5FFO6,,2,65,-600
464,3071,A1SISJL5ST2PWH:3O7L7BFSHFWQCSQSMY66NN6AUV1EIS,,2,629,-36
471,3078,A57UD1JOY4ROC:34T446B1C1L08ZPYMHB5RV6BNP7C02,,0,337,-231
477,3084,A2CMX1QYM4XOHE:34PGFRQONPIGO3WPPGLCLUSAEEVJWP,,0,196,-642
483,3090,A2ZA9Q75VCLB3I:3U5NZHP4LS9UDO4YPU4WHN4Z8POPHV,,0,257,-392
489,3096,A37XNUVAQIRSI3:38F71OA9GU34EPGF2OO4XYYRN50FMR,,0,934,-5
495,3102,A3LAKZ5LLVT71A:3PMBY0YE28AI4TDBMDUYK674QT1C9E,,0,622,-129
501,3108,A17UUMMRBUTIZ3:3C44YUNSI2WD18ZW3YL6Q2P1GXVPDM,,2,496,-254
508,3115,A3M6D3SV95ADMP:31HQ4X3T3THTCC3G8WNO4K2HCQ4SLL,,1,322,-429
515,3122,A3011J37433COH:3NXNZ5RS1B4CSCIFVWMN4KFQPIA79G,,2,681,-229
522,3129,AO988J3346ETB:326O153BMJ594HA6UK5VWQQX2QTEDQ,,2,98,-791
529,3136,A1A9402JQBA2AF:32KTQ2V7REMVDFP2Z2OCN2CGK759MT,,2,-3,-647
536,3143,A1O3TWBUDONVLO:3CCZ6YKWR8QX584W737Q601UYCF59Z,,1,753,-1
543,3150,A2UHF7UL7G0Y78:3RANCT1ZVGOXEG986OTU5IO0LTBBUX,,1,-271,-1139
550,3157,A2RSG8IMB0ZOB5:323Q6SJS8JNIMBF4BR8R5TQV6J1HFK,,1,387,-334
557,3164,A334PF6V06FOB4:3HMIGG0U4MDVTRV6DD69H14C9B18YT,,2,716,-34
564,3171,A5YRC4QT53JRO:3JNQLM5FT5T07DMIEH8ID2PDEW52LS,,2,859,-30
571,3178,A305USYDAJUGI7:3JNQLM5FT5T07DMIEH8ID2PDEW5L2B,,1,-154,-798
