,Unnamed: 0,id,,condition,score,norm_score
1587,4299,A20DJRAE8TZUH5:3IO1LGZLKA4TA7L07UBHYAKJA1A68T,,0,680,-295
1593,4305,A18JZJJYW6MCBH:3TVSS0C0E27A26SU1AZGN0FJCGNTW5,,1,33,-856
1600,4312,A2VTY63L3RN75V:3T111IHZ5FXMAV2U4AKT916QQU49RH,,1,327,-583
1607,4319,A3GIR260B6Q8GS:3TE22NPXPCJECJUKC3SPK0K0CO844Z,,0,146,-722
1613,4325,A131ZOKNIT3MJY:308XBLVESJB5YOHR2UYP071GEU8RBA,,0,552,-113
1619,4331,A61WPWSYJG6DJ:3WLEIWSYHPOYLH3SNWTKLAW6XFWH20,,0,-36,-757
1625,4337,A152B28KVSOXMV:3LOZAJ85YEKV7737S0B6OWK0L5GX2A,,2,194,-471
1632,4344,A3NN2AK1DFDNDU:3IXEICO793QC8RDOASMCP6G6OEV6TI,,0,-23,-998
1638,4350,A3LJHPCBG2XU3P:36DSNE9QZ658JUNNYUU240FOBCWJOD,,0,268,-370
1644,4356,A40AORVZ0PLJH:3WJEQKOXA99CM9DIYMJEZ5ZXSEU1AU,,2,664,-86
1651,4363,AIS4X2NYY3V1T:3KIBXJ1WD613UET5GFUE5FF1Q1XOKI,,0,519,-119
1657,4369,A3HGUDOSNEHSEJ:3ND9UOO81L9MJTKPS1XP1952I31LWU,,2,644,-107
1664,4380,A1O6WOWN2X9R9C:3SBEHTYCWOAOIX7JMZI0UQYQC77YIS,,0,25,-696
1670,4386,A2N9PODZK37GCF:3GU1KF0O4J8KMB1CP2U0VC11DCJBP1,,0,122,-527
1676,4396,A2A0GSLV9JXMJ6:34PGFRQONPIGO3WPPGLCLUSAEEWWJ3,,2,-83,-1022
1683,4403,A1I7H6RDJS4EKN:3ZAK8W07I5LWUT6Y88W5L1SHUPG0U2,,1,586,-252
1690,4410,A1QG7OBU8UH8M5:3HVVDCPGTFZERBNUGBH48X0ZNONTY4,,1,37,-628
1697,4417,A2N887KY7OGA4C:3KKG4CDWKJ5F9P0WTYOG18VGYGM49V,,0,468,-197
1703,4423,A1HAUHRSK9158F:3RXPCZQMQQIDW0QLKMBOVRA0Q971G6,,1,731,-244
1710,4430,A3CIHH2K57SVR0:3WI0P0II62ZYDLFBGQPVVXPGHFJDR2,,2,175,-764
1717,4437,A1C3BEKJWUNCVY:3OUYGIZWR85J2OY2RMXBBV5IM8NP0U,,0,869,-106
1723,4451,A1U5ER18WLXT35:31QTRG6Q2UKGZJUNZU8K3NZ2YL2YP4,,1,551,-217
1730,4458,A2X3FSFHV5GHJU:3HMIGG0U4MDVTRV6DD69H14C9B38YV,,0,188,-787
1736,4471,AKTQD9Y44G495:3AQF3RZ559P2PMVNF8HN8215X5N6FA,,1,511,-154
1743,4486,A2YGZ409IST28:3EF8EXOTT22NN2GMSSWRS42GI1O1JA,,1,660,-208
1750,4493,A3OYZK65C2G39N:31Q0U3WYDQMU37FKRJ7UPEX7R6O719,,1,103,-665
1757,4500,AH4S22PWE826G:3R2UR8A0IBN9EESCFY93V9N3MACOX7,,2,799,-111
1764,4511,A2BP21EEGVCV4J:3NGI5ARFTUCJ9DJKN51BP0OSR0TP1X,,2,862,-77
1771,4518,A15CL9A9FVSJDW:3KJYX6QCMAI39EWKZ6GGZS9W75VJVH,,1,-244,-909
1778,4525,AR17E7L7JAOBI:39ZSFO5CA933WZ7KUG6B367DTYLUJ2,,1,664,-87
1785,4532,AH7Z2M3KSQ4DW:3SNLUL3WO5U9RPVKX1IOJLK5XNQLUV,,2,518,-392
1792,4539,A1T2598R44X648:3BWI6RSP7HGTN89W3729WYG1GFQE7X,,1,612,-109
1799,4546,A30771OC7F9D5B:35GCEFQ6I6V9XKZ5XIDW4R53ZJEZ3K,,0,301,-449
1805,4552,A35KTPEKZ1PG8P:3QJOXOW4XKYC8BGJ7D4YFGDRB4LEM8,,2,535,-216
1812,4567,AC5YBMLDS75EA:3SLE99ER0OKE0F3ICBS2MA3FNBSBZO,,2,816,-94
1819,4574,A3HZIPKSCYU7ZI:38F5OAUN5OJ57I0YT8AFH1DE8VK7H8,,1,-113,-867
1826,4581,A1URCANKSOR247:3I33IC7ZWG9JBUVEHQJS4O92KK82AC,,0,-43,-881
1832,4587,A2V66KLFVJTLKC:3LUY3GC6307XKZYMCLIKQAF5UMTP7U,,2,681,-87
1839,4598,AU8XCHDPGUS8B:33FBRBDW6P6IQOU1HLOKKACT6NLC8R,,2,634,-87
1846,4605,A1OKCTS4L623XN:3VSOLARPKCGURTHSTKJXR33AKGQ93F,,2,-33,-801
1853,4612,A1U69QDM8UIXZ5:3A4TN5196LPBJZVUKPIQXN5S96BHCB,,1,914,-61
1860,4627,A13CAAOJ5GP4UQ:33PPUNGG39C1GMK788ESMP8J5XUZRO,,2,838,-101
1867,4634,A3KMCTL5ILQH33:3VHP9MDGRORR534OPZUQU2TFTRYCF8,,1,562,-87
1874,4641,A34RZW1GGCZ2L6:3NLZY2D53QWHZWO3GSYJ9KNGU2KLQQ,,0,-265,-986
1880,4647,A2FWZR12905V6J:35K3O9HUACK621O2LQ0LKQTIE3BFE4,,1,447,-438
1887,4654,A2EMVL9KAQZ54T:3NC5L260MPTSES1RF43HP2NWI5HFO8,,1,-79,-947
1894,4665,A5XQ30GQTHHK6:37M28K1J0RKJHQTMOBPK35VJMVUAJ7,,1,409,-429
1901,4672,A1Z3OYRAZC6F7H:3L70J4KAZHT6E4TUEF390706HBXDAW,,0,657,-94
1907,4678,A1N8BW04V76ZSY:3Q5ZZ9ZEVPMXR3LM2B1C646JE6Z85F,,2,558,-210
1914,4689,AYAPGOMYD6ICS:33CKWXB73KRGSL0I23QLO46UOKP117,,2,685,-83
1921,4696,A3NV19LE2NW6YD:3ZWFC4W1UVEVB5T77WKLJXS1TS1RFT,,0,139,-729
1927,4702,A2XW91EHCZ3T3V:3PW9OPU9PRRNH6IEL7QZTNGZGQ312O,,0,640,-110
1933,4708,A2ZYO0FHHESP4J:3634BBTX0P1II6QOH9QC55RA6WJIFH,,1,-82,-747
1940,4715,ADF5F7Z0SP0B3:3O7L7BFSHFWQCSQSMY66NN6AUV4IEZ,,2,-352,-1001
1947,4722,A22G3IFRURGMBT:35LDD5557BBFUB8T3ZF1DBQWV1KKM1,,0,637,-28
1953,4728,A12000QAJWCVBX:3DBQWDE4Y75IUA8Q8DQVO1WE31ZN5J,,1,296,-589
1960,4739,AQ3HYOMBERB6D:34HJIJKLP63D6WDZWZTCTQKDP86V43,,1,123,-542
1967,4746,A1J1PWS99LFVPL:31LVTDXBL8HHBX33T7NJEAXLQOOLRT,,1,10,-758
1974,4753,A3MPQHRJ7KMSAV:3T111IHZ5FXMAV2U4AKT916QQU7R92,,2,788,-80
1981,4760,A1D1SU7FX4HED1:31HQ4X3T3THTCC3G8WNO4K2HCQ6LSG,,0,46,-722
1987,4766,A32OHDY4GTJ51H:3CP1TO84PU8M5OJXMUSBWDTGS69258,,1,-193,-1078
1994,4773,A1U1PWOUK690TU:3137ONMDKHCCG1KXWA632BTUFIDGE6,,2,220,-424
