bonus,bonusRate,branching,completed,condition,delay_hours,delay_window,feedback,inspectCost,pid,startTime,variance,with_feedback,version
3.44,0.002,312,TRUE,1,24,12,TRUE,1,22,Thu Mar 08 2018 11:16:53 GMT-0800 (Pacific Standard Time),2_4_24,TRUE,R0.9
0.86,0.002,312,TRUE,1,24,12,TRUE,1,23,Wed Mar 07 2018 12:08:04 GMT-0500 (US Eastern Standard Time),2_4_24,TRUE,R0.9
5,0.002,312,TRUE,0,24,12,FALSE,1,23,Thu Mar 08 2018 13:02:33 GMT-0500 (US Eastern Standard Time),2_4_24,FALSE,R0.9
,0.002,312,TRUE,0,24,12,FALSE,1,24,Fri Mar 09 2018 12:54:50 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
,0.002,312,TRUE,1,24,12,TRUE,1,25,Fri Mar 09 2018 09:51:57 GMT-0800 (Pacific Standard Time),2_4_24,TRUE,R0.9
,0.002,312,TRUE,1,24,12,TRUE,1,26,Fri Mar 09 2018 12:00:00 GMT-0600 (Central Standard Time),2_4_24,TRUE,R0.9
,0.002,312,TRUE,0,24,12,FALSE,1,27,Fri Mar 09 2018 11:54:41 GMT-0600 (Central Standard Time),2_4_24,FALSE,R0.9
0.86,0.002,312,TRUE,1,24,12,TRUE,1,28,Wed Mar 07 2018 13:38:01 GMT-0600 (Central Standard Time),2_4_24,TRUE,R0.9
4.51,0.002,312,TRUE,1,24,12,TRUE,1,28,Thu Mar 08 2018 20:19:02 GMT-0600 (Central Standard Time),2_4_24,TRUE,R0.9
,0.002,312,TRUE,1,24,12,TRUE,1,29,Fri Mar 09 2018 13:33:28 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
4.66,0.002,312,TRUE,0,24,12,FALSE,1,30,Thu Mar 08 2018 13:16:08 GMT-0800 (Pacific Standard Time),2_4_24,FALSE,R0.9
0.87,0.002,312,TRUE,1,24,12,TRUE,1,30,Wed Mar 07 2018 16:11:15 GMT-0800 (Pacific Standard Time),2_4_24,TRUE,R0.9
,0.002,312,TRUE,1,24,12,TRUE,1,31,Fri Mar 09 2018 12:26:55 GMT-0500 (EST),2_4_24,TRUE,R0.9
,0.002,312,TRUE,0,24,12,FALSE,1,32,Fri Mar 09 2018 12:59:59 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
0.82,0.002,312,TRUE,1,24,12,TRUE,1,33,Wed Mar 07 2018 16:49:12 GMT-0500 (Hora est&#225;ndar del Este),2_4_24,TRUE,R0.9
4.75,0.002,312,TRUE,1,24,12,TRUE,1,33,Thu Mar 08 2018 16:51:08 GMT-0500 (Hora est&#225;ndar del Este),2_4_24,TRUE,R0.9
,0.002,312,TRUE,0,24,12,FALSE,1,34,Fri Mar 09 2018 09:26:50 GMT-0800 (Pacific Standard Time),2_4_24,FALSE,R0.9
,0.002,312,TRUE,0,24,12,FALSE,1,35,Fri Mar 09 2018 12:49:18 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
,0.002,312,TRUE,0,24,12,FALSE,1,36,Fri Mar 09 2018 12:38:30 GMT-0500 (EST),2_4_24,FALSE,R0.9
,0.002,312,TRUE,0,24,12,FALSE,1,37,Fri Mar 09 2018 12:27:25 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
0.74,0.002,312,TRUE,1,24,12,TRUE,1,38,Thu Mar 08 2018 11:20:18 GMT-0600 (Central Standard Time),2_4_24,TRUE,R0.9
0.5,0.002,312,TRUE,0,24,12,FALSE,1,38,Wed Mar 07 2018 10:56:07 GMT-0600 (Central Standard Time),2_4_24,FALSE,R0.9
1.69,0.002,312,TRUE,0,24,12,FALSE,1,39,Thu Mar 08 2018 13:05:45 GMT-0500 (EST),2_4_24,FALSE,R0.9
0,0.002,312,TRUE,0,24,12,FALSE,1,39,Wed Mar 07 2018 11:56:36 GMT-0500 (EST),2_4_24,FALSE,R0.9
0.57,0.002,312,TRUE,0,24,12,FALSE,1,40,Wed Mar 07 2018 12:15:00 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
4.45,0.002,312,TRUE,1,24,12,TRUE,1,41,Thu Mar 08 2018 18:48:55 GMT-0500 (EST),2_4_24,TRUE,R0.9
0.81,0.002,312,TRUE,0,24,12,FALSE,1,41,Wed Mar 07 2018 18:47:52 GMT-0500 (EST),2_4_24,FALSE,R0.9
5,0.002,312,TRUE,1,24,12,TRUE,1,42,Thu Mar 08 2018 20:50:34 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
0.87,0.002,312,TRUE,1,24,12,TRUE,1,42,Wed Mar 07 2018 17:29:24 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
0,0.002,312,TRUE,0,24,12,FALSE,1,43,Wed Mar 07 2018 11:51:09 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
4.24,0.002,312,TRUE,1,24,12,TRUE,1,43,Thu Mar 08 2018 13:32:07 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
,0.002,312,TRUE,1,24,12,TRUE,1,44,Fri Mar 09 2018 09:51:43 GMT-0800 (Pacific Standard Time),2_4_24,TRUE,R0.9
4.12,0.002,312,TRUE,1,24,12,TRUE,1,45,Thu Mar 08 2018 15:19:27 GMT-0600 (Central Standard Time),2_4_24,TRUE,R0.9
0.55,0.002,312,TRUE,1,24,12,TRUE,1,45,Wed Mar 07 2018 14:00:25 GMT-0600 (Central Standard Time),2_4_24,TRUE,R0.9
0.58,0.002,312,TRUE,1,24,12,TRUE,1,46,Wed Mar 07 2018 17:26:03 GMT-0800 (Pacific Standard Time),2_4_24,TRUE,R0.9
4.3,0.002,312,TRUE,0,24,12,FALSE,1,46,Thu Mar 08 2018 16:49:26 GMT-0800 (Pacific Standard Time),2_4_24,FALSE,R0.9
4.16,0.002,312,TRUE,0,24,12,FALSE,1,47,Thu Mar 08 2018 12:45:58 GMT-0800 (PST),2_4_24,FALSE,R0.9
0.68,0.002,312,TRUE,0,24,12,FALSE,1,47,Wed Mar 07 2018 14:25:05 GMT-0800 (PST),2_4_24,FALSE,R0.9
4.91,0.002,312,TRUE,0,24,12,FALSE,1,48,Thu Mar 08 2018 16:18:15 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
0.88,0.002,312,TRUE,1,24,12,TRUE,1,48,Wed Mar 07 2018 16:00:41 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
0.8,0.002,312,TRUE,0,24,12,FALSE,1,49,Wed Mar 07 2018 10:48:55 GMT-0600 (Central Standard Time),2_4_24,FALSE,R0.9
4.45,0.002,312,TRUE,1,24,12,TRUE,1,49,Thu Mar 08 2018 12:12:09 GMT-0600 (Central Standard Time),2_4_24,TRUE,R0.9
4.29,0.002,312,TRUE,1,24,12,TRUE,1,50,Thu Mar 08 2018 13:04:35 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
0.58,0.002,312,TRUE,1,24,12,TRUE,1,50,Wed Mar 07 2018 17:40:41 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
2.57,0.002,312,TRUE,1,24,12,TRUE,1,51,Thu Mar 08 2018 09:20:29 GMT-0800 (Pacific Standard Time),2_4_24,TRUE,R0.9
0.87,0.002,312,TRUE,0,24,12,FALSE,1,51,Wed Mar 07 2018 08:48:05 GMT-0800 (Pacific Standard Time),2_4_24,FALSE,R0.9
,0.002,312,TRUE,1,24,12,TRUE,1,52,Fri Mar 09 2018 09:30:30 GMT-0800 (Pacific Standard Time),2_4_24,TRUE,R0.9
0.31,0.002,312,TRUE,0,24,12,FALSE,1,53,Wed Mar 07 2018 12:41:38 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
2.42,0.002,312,TRUE,0,24,12,FALSE,1,53,Thu Mar 08 2018 12:59:37 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
0.4,0.002,312,TRUE,1,24,12,TRUE,1,54,Wed Mar 07 2018 11:50:25 GMT-0500 (EST),2_4_24,TRUE,R0.9
0.85,0.002,312,TRUE,1,24,12,TRUE,1,55,Wed Mar 07 2018 16:07:16 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
4.51,0.002,312,TRUE,0,24,12,FALSE,1,55,Thu Mar 08 2018 13:38:51 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
3.71,0.002,312,TRUE,0,24,12,FALSE,1,56,Thu Mar 08 2018 12:53:18 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
0.34,0.002,312,TRUE,1,24,12,TRUE,1,56,Wed Mar 07 2018 11:48:53 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
2.92,0.002,312,TRUE,1,24,12,TRUE,1,57,Thu Mar 08 2018 16:29:52 GMT-0600 (CST),2_4_24,TRUE,R0.9
0.24,0.002,312,TRUE,0,24,12,FALSE,1,57,Wed Mar 07 2018 15:58:36 GMT-0600 (CST),2_4_24,FALSE,R0.9
0,0.002,312,TRUE,0,24,12,FALSE,1,58,Wed Mar 07 2018 08:50:38 GMT-0800 (PST),2_4_24,FALSE,R0.9
4.78,0.002,312,TRUE,0,24,12,FALSE,1,59,Thu Mar 08 2018 12:16:16 GMT-0600 (Central Standard Time),2_4_24,FALSE,R0.9
0.96,0.002,312,TRUE,1,24,12,TRUE,1,59,Wed Mar 07 2018 10:50:06 GMT-0600 (Central Standard Time),2_4_24,TRUE,R0.9
1.93,0.002,312,TRUE,0,24,12,FALSE,1,60,Thu Mar 08 2018 18:16:25 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
0.02,0.002,312,TRUE,0,24,12,FALSE,1,60,Wed Mar 07 2018 12:29:04 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
5.35,0.002,312,TRUE,0,24,12,FALSE,1,61,Thu Mar 08 2018 14:05:47 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
0.97,0.002,312,TRUE,0,24,12,FALSE,1,61,Wed Mar 07 2018 11:50:01 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
,0.002,312,TRUE,1,24,12,TRUE,1,62,Fri Mar 09 2018 10:06:47 GMT-0800 (Pacific Standard Time),2_4_24,TRUE,R0.9
4.13,0.002,312,TRUE,1,24,12,TRUE,1,63,Thu Mar 08 2018 13:23:20 GMT-0500 (EST),2_4_24,TRUE,R0.9
0.78,0.002,312,TRUE,1,24,12,TRUE,1,63,Wed Mar 07 2018 11:54:39 GMT-0500 (EST),2_4_24,TRUE,R0.9
0.39,0.002,312,TRUE,0,24,12,FALSE,1,64,Wed Mar 07 2018 18:35:53 GMT-0600 (Central Standard Time),2_4_24,FALSE,R0.9
0.83,0.002,312,TRUE,1,24,12,TRUE,1,65,Tue Mar 06 2018 18:22:55 GMT-0800 (PST),2_4_24,TRUE,R0.9
