,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,n_click,clicks,click_times,path,action_times
0,0,1.0001,none,none,1,4,"[None, None, None]",15.0,0,[],[],"[1, 4, 8, 14]","[2542, 13914, 17140]"
1,0,1.0001,none,none,2,5,"[None, None, None]",12.0,0,[],[],"[1, 3, 7, 13]","[4369, 15588, 45152]"
2,0,1.0001,none,none,3,11,"[None, None, None]",16.0,0,[],[],"[1, 5, 9, 17]","[2753, 13749, 15554]"
3,0,1.0001,none,none,4,1,"[None, None, None]",15.0,0,[],[],"[1, 2, 6, 10]","[4117, 16597, 20917]"
4,0,1.0001,none,none,5,10,"[None, None, None]",5.0,0,[],[],"[1, 4, 8, 15]","[20494, 33324, 37138]"
5,0,1.0001,none,none,6,2,"[None, None, None]",14.0,0,[],[],"[1, 5, 9, 17]","[2578, 14698, 17513]"
6,0,1.0001,none,none,7,0,"[None, None, None]",13.0,0,[],[],"[1, 3, 7, 13]","[3270, 15324, 18004]"
7,0,1.0001,none,none,8,14,"[None, None, None]",6.0,0,[],[],"[1, 4, 8, 15]","[8167, 26757, 38052]"
8,0,1.0001,none,none,9,7,"[None, None, None]",17.0,0,[],[],"[1, 2, 6, 11]","[2471, 14634, 23721]"
9,0,1.0001,none,none,10,12,"[None, None, None]",14.0,0,[],[],"[1, 5, 9, 16]","[8359, 35924, 38214]"
10,0,1.0001,none,none,11,13,[],14.0,0,[],[],"[1, 5, 9, 17]","[3765, 7693, 9948]"
11,0,1.0001,none,none,12,6,[],11.0,0,[],[],"[1, 2, 6, 11]","[3626, 5650, 8746]"
12,0,1.0001,none,none,13,9,[],9.0,0,[],[],"[1, 3, 7, 12]","[2374, 4238, 6733]"
13,0,1.0001,none,none,14,15,[],14.0,2,"[14, 15]","[10271, 11706]","[1, 4, 8, 15]","[4539, 5627, 21459]"
14,0,1.0001,none,none,15,8,[],13.0,2,"[13, 12]","[5838, 6804]","[1, 3, 7, 13]","[1303, 2783, 8167]"
15,0,1.0001,none,none,16,3,[],14.0,0,[],[],"[1, 2, 6, 11]","[3747, 7147, 8595]"
30,2,1.0001,none,none,1,6,"[None, None, None]",6.0,4,"[2, 3, 7, 12]","[2293, 6539, 16033, 21755]","[1, 3, 7, 13]","[8842, 18142, 23879]"
31,2,1.0001,none,none,2,2,"[None, None, None]",11.0,4,"[4, 5, 8, 15]","[3024, 7222, 15454, 19444]","[1, 4, 8, 14]","[8447, 15451, 20704]"
32,2,1.0001,none,none,3,3,"[None, None, None]",11.0,4,"[13, 16, 11, 14]","[2593, 4460, 6439, 7921]","[1, 4, 8, 14]","[9185, 15997, 18441]"
33,2,1.0001,none,none,4,1,"[None, None, None]",11.0,5,"[14, 11, 13, 17, 9]","[1773, 4242, 5798, 7386, 8940]","[1, 5, 9, 17]","[12905, 19322, 22667]"
34,2,1.0001,none,none,5,0,"[None, None, None]",9.0,3,"[16, 10, 14]","[1790, 3197, 4130]","[1, 4, 8, 14]","[17401, 23850, 26814]"
35,2,1.0001,none,none,6,5,"[None, None, None]",6.0,6,"[15, 13, 3, 7, 11, 17]","[2793, 4273, 5639, 6834, 15743, 18279]","[1, 3, 7, 13]","[21776, 28489, 29736]"
36,2,1.0001,none,none,7,10,"[None, None, None]",1.0,4,"[13, 16, 11, 6]","[4910, 6218, 7430, 9917]","[1, 2, 6, 11]","[12740, 20740, 22474]"
37,2,1.0001,none,none,8,15,"[None, None, None]",10.0,7,"[2, 3, 13, 12, 5, 17, 9]","[1241, 3606, 5397, 8909, 13517, 14490, 15660]","[1, 5, 9, 17]","[17824, 25522, 26737]"
38,2,1.0001,none,none,9,12,"[None, None, None]",7.0,7,"[4, 15, 11, 13, 16, 5, 9]","[1158, 2656, 3761, 4775, 6838, 8573, 9972]","[1, 5, 9, 16]","[11103, 18247, 20127]"
