action_times,actions,button_pressed,correct,delays,information_used_correctly,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[1593, 12281, 16362]","[u'up', u'up', u'left']",,,"[None, None, None]","[True, True, True]","[u'1', 3, 7, 12]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1593, 7, 3266]",14.0,,411930,5.0,11.0,mouselab-mdp,,27
"[660, 89332, 90434]","[u'down', u'down', u'left']",,,"[None, None, None]","[True, True, True]","[u'1', 5, 9, 16]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[660, 78150, 273]",13.0,,522788,6.0,0.0,mouselab-mdp,,27
"[621, 71945, 72835]","[u'left', u'left', u'up']",,,"[None, None, None]","[True, True, True]","[u'1', 4, 8, 14]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[620, 60781, 91]",14.0,,615073,7.0,13.0,mouselab-mdp,,27
"[1548, 22964, 23822]","[u'up', u'up', u'left']",,,"[None, None, None]","[True, True, True]","[u'1', 3, 7, 12]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1548, 10760, 33]",16.0,,671757,8.0,4.0,mouselab-mdp,,27
"[9743, 17854, 22013]","[u'down', u'down', u'right']",,,"[None, None, None]","[True, True, True]","[u'1', 5, 9, 17]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2'], u'time': [3814]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9742, 2, 3428]",15.0,,152533,1.0,1.0,mouselab-mdp,,28
"[1925, 9934, 13349]","[u'left', u'left', u'down']",,,"[None, None, None]","[True, True, True]","[u'1', 4, 8, 15]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1925, 3, 2689]",14.0,,206771,2.0,13.0,mouselab-mdp,,28
"[1780, 9722, 11732]","[u'left', u'left', u'up']",,,"[None, None, None]","[True, True, True]","[u'1', 4, 8, 14]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1780, 5, 1261]",15.0,,260833,3.0,8.0,mouselab-mdp,,28
"[5942, 14306, 18294]","[u'left', u'left', u'up']",,,"[None, None, None]","[True, True, True]","[u'1', 4, 8, 14]","[True, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4'], u'time': [1264, 4388]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5942, 3, 3240]",12.0,,315072,4.0,12.0,mouselab-mdp,,28
"[4423, 12607, 25159]","[u'down', u'down', u'right']",,,"[None, None, None]","[True, True, True]","[u'1', 5, 9, 17]","[True, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'17', u'16'], u'time': [2590, 12600, 12604]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4423, 13, 11519]",12.0,,371311,5.0,7.0,mouselab-mdp,,28
"[10160, 19487, 21855]","[u'left', u'left', u'down']",,,"[None, None, None]","[True, True, True]","[u'1', 4, 8, 15]","[True, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4', u'5', u'3'], u'time': [4604, 5834, 7056, 7927]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10160, 471, 1628]",2.0,,426893,6.0,14.0,mouselab-mdp,,28
"[5867, 14215, 22955]","[u'down', u'down', u'right']",,,"[None, None, None]","[True, True, True]","[u'1', 5, 9, 17]","[True, False, False]","[True, False, True]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'5', u'17', u'16'], u'time': [2838, 4415, 18578, 20451]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5867, 3, 7998]",12.0,,482155,7.0,11.0,mouselab-mdp,,28
"[6784, 15042, 22224]","[u'down', u'down', u'right']",,,"[None, None, None]","[True, True, True]","[u'1', 5, 9, 17]","[True, False, False]","[True, False, True]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'5', u'17', u'16'], u'time': [3982, 4973, 18879, 19799]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6784, 3, 6445]",8.0,,542306,8.0,5.0,mouselab-mdp,,28
"[5004, 13869, 16604]","[u'right', u'right', u'up']",,,"[None, None, None]","[True, True, True]","[u'1', 2, 6, 10]","[True, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4'], u'time': [799, 2318]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5004, 526, 2018]",12.0,,598192,9.0,3.0,mouselab-mdp,,28
"[6980, 17101, 22676]","[u'down', u'down', u'left']",,,"[None, None, None]","[True, True, True]","[u'1', 5, 9, 16]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'2'], u'time': [1183, 2737, 4131]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6980, 1514, 4827]",3.0,,653879,10.0,10.0,mouselab-mdp,,28
"[3477, 6389, 8133]","[u'up', u'up', u'left']",,,[],[],"[u'1', 3, 7, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3477, 2408, 1250]",14.0,,706622,11.0,2.0,mouselab-mdp,,28
"[2709, 4589, 6525]","[u'left', u'left', u'down']",,,[],[],"[u'1', 4, 8, 15]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2709, 1377, 1444]",9.0,,754956,12.0,9.0,mouselab-mdp,,28
"[689, 2601, 4057]","[u'right', u'right', u'up']",,,[],[],"[u'1', 2, 6, 10]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[689, 1415, 953]",15.0,,809267,13.0,15.0,mouselab-mdp,,28
"[3355, 4851, 6450]","[u'right', u'right', u'up']",,,[],[],"[u'1', 2, 6, 10]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3355, 995, 1109]",12.0,,857241,14.0,0.0,mouselab-mdp,,28
"[3647, 5310, 7150]","[u'down', u'down', u'right']",,,[],[],"[u'1', 5, 9, 17]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3647, 1171, 1343]",15.0,,905776,15.0,4.0,mouselab-mdp,,28
"[4619, 6403, 8627]","[u'down', u'down', u'left']",,,[],[],"[u'1', 5, 9, 16]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4619, 1286, 1726]",10.0,,955375,16.0,6.0,mouselab-mdp,,28
"[10252, 25567, 28075]","[u'down', u'down', u'right']",,,"[None, None, None]","[True, True, True]","[u'1', 5, 9, 17]","[True, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [8219]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10252, 2, 1524]",15.0,,194355,1.0,11.0,mouselab-mdp,,29
"[10095, 26125, 29694]","[u'left', u'left', u'up']",,,"[None, None, None]","[True, True, True]","[u'1', 4, 8, 14]","[True, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4'], u'time': [3828, 5545]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10095, 6, 2591]",10.0,,271407,2.0,0.0,mouselab-mdp,,29
"[5923, 22176, 30650]","[u'right', u'right', u'down']",,,"[None, None, None]","[True, True, True]","[u'1', 2, 6, 11]","[True, False, False]","[True, False, True]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'10'], u'time': [2975, 3880, 28761]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5923, 8, 7499]",10.0,,359602,3.0,12.0,mouselab-mdp,,29
"[9311, 24552, 32856]","[u'right', u'right', u'up']",,,"[None, None, None]","[True, True, True]","[u'1', 2, 6, 10]","[True, False, False]","[True, False, True]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'2', u'11'], u'time': [5471, 7461, 29486]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9311, 6, 7367]",8.0,,463023,4.0,5.0,mouselab-mdp,,29
"[7885, 24125, 29651]","[u'up', u'up', u'left']",,,"[None, None, None]","[True, True, True]","[u'1', 3, 7, 12]","[True, False, False]","[True, False, True]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'2', u'3', u'4', u'13'], u'time': [2764, 4087, 4961, 5814, 27453]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7884, 7, 4589]",6.0,,530242,5.0,6.0,mouselab-mdp,,29
"[6049, 21627, 27293]","[u'down', u'down', u'left']",,,"[None, None, None]","[True, True, True]","[u'1', 5, 9, 16]","[True, False, False]","[True, False, True]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'5', u'17'], u'time': [3008, 4440, 25113]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6049, 3, 4655]",12.0,,600500,6.0,7.0,mouselab-mdp,,29
"[7199, 23171, 30716]","[u'right', u'right', u'down']",,,"[None, None, None]","[True, True, True]","[u'1', 2, 6, 11]","[False, False, False]","[True, False, True]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'10'], u'time': [4404, 29509]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7199, 275, 6591]",5.0,,670225,7.0,14.0,mouselab-mdp,,29
"[9435, 24616, 27157]","[u'left', u'left', u'up']",,,"[None, None, None]","[True, True, True]","[u'1', 4, 8, 14]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'8'], u'time': [7563]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9435, 3, 1632]",15.0,,745824,8.0,15.0,mouselab-mdp,,29
"[14627, 30655, 33504]","[u'up', u'up', u'right']",,,"[None, None, None]","[True, True, True]","[u'1', 3, 7, 13]","[True, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'6', u'3', u'4', u'5'], u'time': [3981, 9622, 10536, 11223]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14627, 10, 1949]",10.0,,813894,9.0,2.0,mouselab-mdp,,29
"[3508, 20382, 25581]","[u'left', u'left', u'down']",,,"[None, None, None]","[True, True, True]","[u'1', 4, 8, 15]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3508, 2310, 4282]",15.0,,877838,10.0,3.0,mouselab-mdp,,29
"[13564, 18674, 20046]","[u'right', u'right', u'down']",,,[],[],"[u'1', 2, 6, 11]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2'], u'time': [11219, 11931]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13564, 4606, 869]",13.0,,940797,11.0,8.0,mouselab-mdp,,29
"[5616, 11419, 16411]","[u'up', u'up', u'right']",,,[],[],"[u'1', 3, 7, 13]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'13'], u'time': [4205, 13843]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5615, 5289, 4474]",13.0,,1018999,12.0,4.0,mouselab-mdp,,29
