action_times,actions,button_pressed,correct,delays,information_used_correctly,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,113262,,,297636,,,instructions,"[{""page_index"":0,""viewing_time"":9358},{""page_index"":1,""viewing_time"":36272},{""page_index"":2,""viewing_time"":21672},{""page_index"":1,""viewing_time"":27128},{""page_index"":0,""viewing_time"":14495},{""page_index"":1,""viewing_time"":2416},{""page_index"":2,""viewing_time"":1920}]",24
,,,,,,,,,,,,87943,,,87944,,,instructions,"[{""page_index"":0,""viewing_time"":32765},{""page_index"":1,""viewing_time"":35999},{""page_index"":2,""viewing_time"":19178}]",25
,,,,,,,,,,,,46814,,,160818,,,instructions,"[{""page_index"":0,""viewing_time"":7179},{""page_index"":1,""viewing_time"":15474},{""page_index"":2,""viewing_time"":10366},{""page_index"":1,""viewing_time"":6333},{""page_index"":0,""viewing_time"":6004},{""page_index"":1,""viewing_time"":682},{""page_index"":2,""viewing_time"":775}]",25
,,,,,,,,,,,,131603,,,131603,,,instructions,"[{""page_index"":0,""viewing_time"":43190},{""page_index"":1,""viewing_time"":26423},{""page_index"":2,""viewing_time"":61988}]",26
,,,,,,,,,,,,68079,,,68080,,,instructions,"[{""page_index"":0,""viewing_time"":27015},{""page_index"":1,""viewing_time"":28182},{""page_index"":2,""viewing_time"":12881}]",27
,,,,,,,,,,,,82311,,,82311,,,instructions,"[{""page_index"":0,""viewing_time"":39295},{""page_index"":1,""viewing_time"":23878},{""page_index"":2,""viewing_time"":19137}]",28
,,,,,,,,,,,,98084,,,98085,,,instructions,"[{""page_index"":0,""viewing_time"":55027},{""page_index"":1,""viewing_time"":20609},{""page_index"":2,""viewing_time"":22447}]",29
,,,,,,,,,,,,171976,,,171977,,,instructions,"[{""page_index"":0,""viewing_time"":22759},{""page_index"":1,""viewing_time"":12998},{""page_index"":2,""viewing_time"":136218}]",30
,,,,,,,,,,,,11947,,,199604,,,instructions,"[{""page_index"":0,""viewing_time"":6456},{""page_index"":1,""viewing_time"":3969},{""page_index"":2,""viewing_time"":1522}]",30
,,,,,,,,,,,,48192,,,48192,,,instructions,"[{""page_index"":0,""viewing_time"":15632},{""page_index"":1,""viewing_time"":18126},{""page_index"":2,""viewing_time"":14433}]",31
,,,,,,,,,,,,113173,,,113173,,,instructions,"[{""page_index"":0,""viewing_time"":67691},{""page_index"":1,""viewing_time"":33001},{""page_index"":2,""viewing_time"":12480}]",32
,,,,,,,,,,,,77553,,,77556,,,instructions,"[{""page_index"":0,""viewing_time"":55990},{""page_index"":1,""viewing_time"":15998},{""page_index"":2,""viewing_time"":5561}]",33
,,,,,,,,,,,,79977,,,202510,,,instructions,"[{""page_index"":0,""viewing_time"":33112},{""page_index"":1,""viewing_time"":31120},{""page_index"":2,""viewing_time"":15744}]",33
,,,,,,,,,,,,240753,,,240757,,,instructions,"[{""page_index"":0,""viewing_time"":81230},{""page_index"":1,""viewing_time"":77731},{""page_index"":2,""viewing_time"":60108},{""page_index"":1,""viewing_time"":18313},{""page_index"":2,""viewing_time"":3369}]",34
,,,,,,,,,,,,266827,,,266830,,,instructions,"[{""page_index"":0,""viewing_time"":18566},{""page_index"":1,""viewing_time"":19523},{""page_index"":2,""viewing_time"":228735}]",35
