action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[14779, 15861, 16668]","[u'1', u'1', u'0']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -4, u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -4, u'__', u'__', 4, u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', -4, u'__', u'__', 4, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', -4, u'__', u'__', 4, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', -4, u'__', u'__', 4, 4, u'__', u'__'], [0, -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', -4, u'__', u'__', 4, 4, u'__', -12], [0, -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', -4, u'__', u'__', 4, 4, -12, -12], [0, -4, u'__', u'__', u'__', 4, u'__', u'__', 4, u'__', -4, u'__', u'__', 4, 4, -12, -12], [0, -4, u'__', u'__', u'__', 4, 4, u'__', 4, u'__', -4, u'__', u'__', 4, 4, -12, -12]]",,[],[],[],"[u'0', 5, 6, 8]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [10, 13, 5, 1, 14, 16, 15, 8, 6], u'time': [2179, 4344, 5941, 6987, 8063, 9136, 9891, 10930, 13843]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14779, 584, 310]",3.0,127717,1.0,,mouselab-mdp,,0
"[4104, 8797, 10940]","[u'2', u'2', u'3']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 20, u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[],[],[],"[u'0', 9, 10, 11]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9], u'time': [2817]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4104, 4185, 1644]",27.0,181776,2.0,,mouselab-mdp,,0
"[4214, 5280, 6518]","[u'0', u'0', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[],[],[],"[u'0', 1, 2, 3]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [1], u'time': [2698]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4214, 548, 737]",3.0,237763,3.0,,mouselab-mdp,,0
"[7856, 10576, 12224]","[u'2', u'2', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__']]",,[],[],[],"[u'0', 9, 10, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [13, 1, 9], u'time': [2166, 3420, 6643]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7855, 2206, 1136]",17.0,286964,4.0,,mouselab-mdp,,0
"[7926, 9520, 10646]","[u'0', u'0', u'3']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__', 4, u'__', u'__', u'__'], [0, 12, u'__', u'__', u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__', 4, u'__', u'__', u'__']]",,[],[],[],"[u'0', 1, 2, 4]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 1, 13, 5], u'time': [1869, 2988, 4695, 6376]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7926, 1101, 624]",-16.0,343440,5.0,,mouselab-mdp,,0
"[14295, 24248, 53879]","[u'1', u'1', u'0']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', 20, u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', 20, u'__', u'__', u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', 20, -12, u'__', u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', 20, -12, -12, u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', 20, -12, -12, -12, 4, u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', 20, -12, -12, -12, 4, -4, u'__', u'__', -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', 20, -12, -12, -12, 4, -4, u'__', -4, -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', 20, -12, -12, -12, 4, -4, -4, -4, -12, u'__', u'__', u'__']]",,[],[],[],"[u'0', 5, 6, 8]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 1, 5, 13, 6, 7, 8, 10, 12, 11], u'time': [1994, 3201, 4174, 5350, 6104, 7284, 8452, 10858, 12126, 13372]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14295, 9438, 29119]",-14.0,400643,6.0,,mouselab-mdp,,0
"[5305, 6290, 7105]","[u'3', u'3', u'2']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', 12, u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', 12, -4, u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', 12, -4, u'__', 12]]",,[],[],[],"[u'0', 13, 14, 16]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 13, 14, 16], u'time': [1403, 2334, 3557, 4239]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5305, 467, 298]",16.0,455015,7.0,,mouselab-mdp,,0
"[9386, 10299, 11378]","[u'1', u'1', u'0']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', 20, u'__', u'__', u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', 20, 12, u'__', u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', 20, 12, -20, u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', 20, 12, -20, -4, 4, u'__', u'__', u'__', -12, u'__', u'__', u'__']]",,[],[],[],"[u'0', 5, 6, 8]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 1, 13, 5, 6, 7, 8], u'time': [2557, 3447, 4100, 5296, 6432, 7108, 7973]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9386, 404, 583]",21.0,501460,8.0,,mouselab-mdp,,0
"[17196, 18359, 19272]","[u'0', u'0', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', -4, u'__', u'__', u'__', -20, u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', -4, u'__', u'__', u'__', -4, u'__', u'__', u'__', -20, u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', -4, u'__', u'__', u'__', -4, 4, u'__', u'__', -20, u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', -4, u'__', u'__', u'__', -4, 4, -4, u'__', -20, u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', -4, u'__', u'__', u'__', -4, 4, -4, -12, -20, u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', -4, -4, u'__', u'__', -4, 4, -4, -12, -20, u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', -4, -4, -12, u'__', -4, 4, -4, -12, -20, u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', -4, -4, -12, -4, -4, 4, -4, -12, -20, u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', -4, -4, -12, -4, -4, 4, -4, -12, -20, -12, u'__', u'__'], [0, -12, u'__', u'__', u'__', -4, -4, -12, -4, -4, 4, -4, -12, -20, -12, u'__', -4], [0, -12, u'__', u'__', u'__', -4, -4, -12, -4, -4, 4, -4, -12, -20, -12, 4, -4], [0, -12, 12, u'__', u'__', -4, -4, -12, -4, -4, 4, -4, -12, -20, -12, 4, -4], [0, -12, 12, 4, u'__', -4, -4, -12, -4, -4, 4, -4, -12, -20, -12, 4, -4], [0, -12, 12, 4, -4, -4, -4, -12, -4, -4, 4, -4, -12, -20, -12, 4, -4]]",,[],[],[],"[u'0', 1, 2, 3]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 1, 13, 5, 10, 11, 12, 6, 7, 8, 14, 16, 15, 2, 3, 4], u'time': [1786, 2592, 3199, 3889, 4844, 5423, 6164, 7452, 8099, 8745, 10015, 11057, 11842, 12729, 13403, 14364]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[17196, 669, 418]",-12.0,549219,9.0,,mouselab-mdp,,0
"[7091, 8011, 9268]","[u'1', u'1', u'0']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', 20, u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', 20, 4, u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', 20, 4, -4, u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -12, u'__', u'__', u'__', 20, 4, -4, -4, 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[],[],[],"[u'0', 5, 6, 8]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 1, 5, 6, 7, 8], u'time': [1164, 2146, 3129, 4368, 5161, 6069]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7090, 416, 738]",14.0,596681,10.0,,mouselab-mdp,,0
